data_year,property_id,incident_id,prop_loss_id,stolen_count,recovered_count
2021,143995344,143919821,4,,
2021,143995486,143919976,7,,
2021,143995345,143919822,7,,
2021,143995346,143919823,6,,
2021,143995347,143919824,7,,
2021,143995943,143920578,1,,
2021,143995349,143919826,7,,
2021,143995944,143920579,4,,
2021,143995945,143920579,7,,
2021,143995350,143919828,4,,
2021,143997365,143922355,4,,
2021,143995351,143919829,7,,
2021,143997367,143922357,7,,
2021,143995352,143919830,7,,
2021,143995601,143920132,4,,
2021,143995603,143920134,5,,
2021,143995604,143920134,7,,
2021,143995946,143920580,4,,
2021,143995605,143920135,4,,
2021,143995606,143920136,4,,
2021,143995607,143920138,7,,
2021,143995609,143920143,7,,
2021,143996003,143920652,7,,
2021,143995610,143920144,6,,
2021,143995611,143920145,4,,
2021,143995612,143920146,4,,
2021,143997369,143922360,7,,
2021,143995613,143920148,6,,
2021,144003640,143930163,5,,1
2021,144003641,143930163,7,1,
2021,143996005,143920655,7,,
2021,143996006,143920657,7,,
2021,143996007,143920658,5,,
2021,143996008,143920658,6,,
2021,143996009,143920658,7,,
2021,143998976,143924381,7,,
2021,143996010,143920659,7,,
2021,143996011,143920660,4,,
2021,143996012,143920661,6,,
2021,143997372,143922364,7,,
2021,143996015,143920665,7,,
2021,143996117,143920792,7,,
2021,143996118,143920793,7,,
2021,143996122,143920796,7,,
2021,143996123,143920798,7,,
2021,143996124,143920799,1,,
2021,143996125,143920801,5,,
2021,143996126,143920801,7,,
2021,143996127,143920802,7,,
2021,143996128,143920803,4,,
2021,143996130,143920805,7,,
2021,143997396,143922388,6,,
2021,143996131,143920807,4,,
2021,143996132,143920808,7,,
2021,143998977,143924382,7,,
2021,143998980,143924385,7,,
2021,144003731,143930269,4,,
2021,144003732,143930269,5,,
2021,144003733,143930269,7,,
2021,144002004,143928099,7,,
2021,143998981,143924388,1,,
2021,143998982,143924390,5,,
2021,143998988,143924394,7,,
2021,143998990,143924396,4,,
2021,143998992,143924399,7,,
2021,143998995,143924401,7,,
2021,143998997,143924404,7,,
2021,143997961,143923102,5,,
2021,143997962,143923102,7,,
2021,143997967,143923109,7,,
2021,143998294,143923543,7,,
2021,147597525,148115515,7,,
2021,143998297,143923546,7,,
2021,143998457,143923728,7,,
2021,143998583,143923901,4,,
2021,144000574,143926251,7,,
2021,143999015,143924421,7,,
2021,143999358,143924810,7,,
2021,143999360,143924812,7,,
2021,144001958,143928042,7,,
2021,143999366,143924822,5,,
2021,143999373,143924830,7,,
2021,143999376,143924834,7,,
2021,143999378,143924836,7,,
2021,143999381,143924839,7,,
2021,143999385,143924843,7,,
2021,143999388,143924846,7,,
2021,143999392,143924851,4,,
2021,147597526,148115516,7,,
2021,143999398,143924855,4,,
2021,143999405,143924861,5,,
2021,143999406,143924861,7,,
2021,149542254,150367391,4,,
2021,143999650,143925139,7,,
2021,143999660,143925150,6,,
2021,143999756,143925268,7,,
2021,143999759,143925274,6,,
2021,143999760,143925275,7,,
2021,143999762,143925278,7,,
2021,144000576,143926253,7,1,
2021,143999763,143925280,7,,
2021,143999865,143925393,7,,
2021,144001959,143928044,3,,
