data_year,victim_id,offense_id
2021,158594153,172868293
2021,158594155,172868296
2021,158594155,172868297
2021,158594155,172868298
2021,158594156,172868296
2021,158594156,172868297
2021,158594158,172868301
2021,158594159,172868302
2021,158594163,172868305
2021,158594163,172868306
2021,158594165,172868308
2021,158597661,172871961
2021,158594166,172868309
2021,158594167,172868310
2021,158594349,172868493
2021,158594350,172868494
2021,158614958,172890157
2021,158614958,172890158
2021,158594352,172868496
2021,163370910,177653763
2021,163370910,177653764
2021,158594355,172868500
2021,163370911,177653765
2021,158594397,172868541
2021,158614959,172890159
2021,158614959,172890160
2021,158594399,172868544
2021,158594401,172868546
2021,158594403,172868548
2021,158594404,172868549
2021,158594406,172868551
2021,158594408,172868553
2021,158594410,172868555
2021,158594410,172868556
2021,158594411,172868557
2021,158594413,172868559
2021,158594413,172868560
2021,158597768,172872070
2021,158594414,172868561
2021,158594416,172868563
2021,158594417,172868564
2021,158594419,172868566
2021,158594420,172868567
2021,158594423,172868572
2021,158594424,172868573
2021,158594620,172868776
2021,158594623,172868779
2021,158594625,172868781
2021,158594625,172868782
2021,158594625,172868783
2021,158594626,172868784
2021,158594626,172868785
2021,158594839,172869004
2021,158594840,172869005
2021,163363101,177645444
2021,163363102,177645445
2021,163363103,177645446
2021,163363113,177645458
2021,163363114,177645459
2021,163363114,177645460
2021,163363115,177645461
2021,163363116,177645462
2021,163363116,177645463
2021,163363117,177645464
2021,163363117,177645465
2021,163363118,177645466
2021,163363119,177645467
2021,158595465,172869638
2021,158579701,172853280
2021,158595466,172869639
2021,158595581,172869774
2021,158595581,172869775
2021,158595583,172869777
2021,158614960,172890162
2021,158614961,172890161
2021,158595584,172869778
2021,163370912,177653766
2021,158595586,172869780
2021,158595587,172869781
2021,158595587,172869782
2021,158595588,172869783
2021,158595589,172869784
2021,158595590,172869785
2021,158595591,172869786
2021,158595592,172869787
2021,158595593,172869787
2021,158595594,172869788
2021,165939249,180243849
2021,165939249,180243850
2021,158595734,172869931
2021,158595735,172869932
2021,158595889,172870104
2021,163370913,177653767
2021,158595893,172870108
2021,158595894,172870109
2021,158596002,172870221
2021,158596005,172870223
2021,158596006,172870224
2021,158596009,172870227
2021,158596010,172870227
2021,158596012,172870229
2021,163370914,177653768
2021,163370914,177653769
2021,158596016,172870237
2021,158596018,172870239
2021,163370915,177653770
2021,158597769,172872071
2021,158597893,172872207
2021,158597894,172872208
2021,158597894,172872209
2021,158598151,172872482
2021,158598160,172872491
2021,158614962,172890163
2021,158614962,172890164
2021,158598165,172872497
2021,158598503,172872852
2021,158598504,172872852
2021,158598650,172872990
2021,158599187,172873554
2021,158599187,172873555
2021,158599192,172873560
2021,158599193,172873560
2021,165939292,180243898
2021,165939293,180243898
2021,165939293,180243899
2021,165939293,180243900
2021,165939294,180243898
2021,165939294,180243899
2021,165939294,180243900
2021,158599593,172873965
2021,158599598,172873972
2021,158599604,172873978
2021,163370917,177653772
2021,158599935,172874316
2021,158599938,172874319
2021,158599938,172874320
2021,158599938,172874321
2021,158599939,172874321
2021,158599944,172874326
2021,158599950,172874332
2021,158599960,172874343
2021,158599962,172874345
2021,158599967,172874350
2021,158599971,172874354
2021,158599977,172874360
2021,158599980,172874363
2021,158599982,172874365
2021,158599986,172874369
2021,158599989,172874372
2021,158599994,172874377
2021,158599994,172874378
2021,158599999,172874384
2021,163370918,177653773
2021,158600011,172874397
2021,158600222,172874625
2021,158600233,172874635
2021,158600251,172874654
2021,158600255,172874659
2021,158600266,172874670
2021,158600277,172874684
2021,158600283,172874692
2021,158600284,172874691
2021,158600285,172874692
2021,158600286,172874692
2021,163370919,177653774
2021,158600307,172874714
2021,158600786,172875239
2021,158600788,172875241
2021,158601370,172875864
2021,158601370,172875865
2021,158601524,172876033
2021,163370920,177653775
2021,163370921,177653776
2021,163370921,177653777
2021,158614966,172890169
2021,158614967,172890170
2021,158614968,172890171
2021,158614968,172890172
2021,158614974,172890179
2021,158614975,172890180
2021,158614976,172890181
2021,158614977,172890182
2021,158612085,172887158
2021,158612087,172887160
2021,158612088,172887161
2021,158612089,172887162
2021,158612089,172887163
2021,158612090,172887164
2021,158612091,172887165
2021,158612091,172887166
2021,158612092,172887167
2021,158612250,172887339
2021,158612252,172887341
2021,158612253,172887342
2021,158612254,172887343
2021,158612255,172887344
2021,158612256,172887344
2021,158612257,172887344
2021,158612258,172887344
2021,158612259,172887344
2021,158612260,172887344
2021,158612261,172887344
2021,158612262,172887344
2021,158612263,172887344
2021,158612264,172887344
2021,158612265,172887344
2021,158612266,172887344
2021,158612267,172887344
2021,158612268,172887344
2021,158612269,172887344
2021,158612270,172887344
2021,158612271,172887344
2021,158612272,172887344
2021,158612273,172887344
2021,158612274,172887344
2021,158612275,172887344
2021,158612276,172887344
2021,158612277,172887344
2021,158612278,172887344
2021,158612279,172887344
2021,158612280,172887344
2021,158612281,172887344
2021,158612282,172887344
2021,158612283,172887344
2021,158612284,172887344
2021,158612285,172887344
2021,158612286,172887344
2021,158612287,172887344
2021,158612288,172887344
2021,158612289,172887344
2021,158612290,172887344
2021,158612291,172887344
2021,158612292,172887344
2021,158612293,172887345
2021,158612390,172887449
2021,158612391,172887450
2021,158612392,172887448
2021,158612393,172887451
2021,158612394,172887452
2021,158612395,172887452
2021,163370922,177653778
2021,158612397,172887454
2021,158612397,172887455
2021,158612397,172887456
2021,158612398,172887457
2021,158612399,172887458
2021,158612643,172887711
2021,158612926,172888012
2021,158612926,172888013
2021,158612927,172888014
2021,158612928,172888015
2021,158612929,172888016
2021,158612929,172888017
2021,158612930,172888016
2021,158612930,172888017
2021,158612931,172888018
2021,158613198,172888297
2021,158613199,172888298
2021,158613199,172888299
2021,158625638,172901629
2021,158625639,172901631
2021,158625640,172901630
2021,158625641,172901632
2021,158625795,172901787
2021,158625796,172901788
2021,158625930,172901931
2021,158625931,172901932
2021,158626196,172902212
2021,158626197,172902213
2021,158626445,172902493
2021,158626446,172902494
2021,158626649,172902727
2021,158626650,172902727
2021,158626652,172902729
2021,158626653,172902730
2021,158626654,172902731
2021,158626655,172902732
2021,158626656,172902734
2021,158626657,172902733
2021,158626658,172902735
2021,158626659,172902736
2021,163370923,177653779
2021,158626661,172902738
2021,158626662,172902739
2021,158626663,172902740
2021,158626664,172902741
2021,158626665,172902742
2021,158626667,172902744
2021,158626668,172902745
2021,158626669,172902746
2021,158626626,172902701
2021,158626627,172902702
2021,158626627,172902703
2021,158626627,172902704
2021,158626629,172902706
2021,158626630,172902707
2021,158626631,172902707
2021,158626632,172902708
2021,158626633,172902709
2021,158626634,172902710
2021,158626779,172902877
2021,158626779,172902878
2021,158626780,172902879
2021,158626783,172902883
2021,158626784,172902884
2021,158626785,172902885
2021,158626786,172902886
2021,158626787,172902887
2021,158626788,172902888
2021,158626789,172902889
2021,158626790,172902890
2021,158627116,172903253
2021,165940921,180245574
2021,165940921,180245575
2021,163371026,177653892
2021,163371026,177653893
2021,163523075,177814134
2021,163523075,177814135
2021,163371027,177653894
2021,163433841,177719216
2021,165940943,180245596
2021,165940943,180245597
2021,165940943,180245598
2021,163371029,177653898
2021,165940953,180245608
2021,165940953,180245609
2021,165940953,180245610
2021,163371031,177653902
2021,165940970,180245626
2021,163371033,177653904
2021,163371034,177653905
2021,163371035,177653906
2021,163523076,177814136
2021,163523076,177814137
2021,163371036,177653907
2021,163371038,177653909
2021,163428381,177713257
2021,163428383,177713259
2021,163428386,177713263
2021,163428388,177713267
2021,163428389,177713266
2021,163428391,177713269
2021,163428391,177713270
2021,163428718,177713636
2021,163371039,177653910
2021,163371040,177653911
2021,163371041,177653911
2021,163371044,177653915
2021,163371049,177653919
2021,163433842,177719217
2021,163371053,177653923
2021,163371053,177653924
2021,163371056,177653927
2021,163371060,177653931
2021,163371060,177653932
2021,163371063,177653935
2021,163371064,177653936
2021,163371067,177653939
2021,163371125,177654002
2021,163371127,177654005
2021,163371281,177654174
2021,163371281,177654175
2021,163371282,177654176
2021,165940990,180245647
2021,163371284,177654178
2021,165943080,180247786
2021,165943080,180247787
2021,163371279,177654172
2021,163371280,177654173
2021,163371285,177654179
2021,163371286,177654180
2021,163371287,177654181
2021,163371288,177654182
2021,163433844,177719219
2021,163433845,177719219
2021,163371419,177654321
2021,163371420,177654322
2021,163371421,177654323
2021,163371413,177654319
2021,163371414,177654317
2021,163371415,177654317
2021,163371416,177654317
2021,163371417,177654318
2021,163371374,177654275
2021,163433846,177719220
2021,163433847,177719221
2021,163433848,177719222
2021,163433851,177719226
2021,165943099,180247807
2021,165943099,180247808
2021,163433854,177719229
2021,163433854,177719230
2021,163433856,177719232
2021,163433857,177719233
2021,163433859,177719235
2021,163433861,177719237
2021,163433862,177719238
2021,163433864,177719241
2021,163433865,177719240
2021,163433866,177719242
2021,163433867,177719243
2021,163433870,177719245
2021,163433981,177719368
2021,163433983,177719370
2021,163433983,177719371
2021,163434083,177719476
2021,163434084,177719477
2021,163434085,177719478
2021,163434086,177719479
2021,163434086,177719480
2021,163434087,177719481
2021,163434088,177719482
2021,163434089,177719483
2021,163434090,177719484
2021,163434090,177719485
2021,163434091,177719486
2021,163434092,177719487
2021,163434094,177719489
2021,163434097,177719494
2021,163434097,177719495
2021,163523077,177814138
2021,163523078,177814139
2021,163434106,177719504
2021,163434107,177719504
2021,163434113,177719511
2021,163434114,177719510
2021,163434121,177719518
2021,163434571,177720011
2021,163434579,177720020
2021,163434580,177720021
2021,163434590,177720032
2021,165943122,180247832
2021,165943122,180247833
2021,163434605,177720050
2021,163434613,177720059
2021,163434620,177720066
2021,163434625,177720071
2021,163434634,177720080
2021,163434640,177720086
2021,163434651,177720098
2021,163434658,177720106
2021,163434668,177720117
2021,163434669,177720117
2021,163434681,177720129
2021,163435170,177720651
2021,165943142,180247850
2021,163435435,177720925
2021,163435436,177720926
2021,163432504,177717829
2021,163432504,177717830
2021,163432504,177717831
2021,163432506,177717833
2021,163432507,177717834
2021,163523079,177814140
2021,163523080,177814141
2021,163523081,177814142
2021,163523081,177814143
2021,163523082,177814144
2021,163523082,177814145
2021,163523083,177814146
2021,163523084,177814147
2021,163523085,177814148
2021,163523086,177814149
2021,163523087,177814150
2021,163523087,177814151
2021,163523087,177814152
2021,163523087,177814153
2021,163523267,177814361
2021,163523268,177814362
2021,163523269,177814363
2021,163523270,177814364
2021,163523271,177814365
2021,163523272,177814366
2021,163523273,177814367
2021,163523274,177814368
2021,165943169,180247878
2021,165943188,180247895
2021,165943188,180247896
2021,163523278,177814373
2021,163523278,177814374
2021,163523279,177814375
2021,163523280,177814376
2021,163523281,177814377
2021,163523282,177814378
2021,163523283,177814379
2021,163523284,177814380
2021,163523285,177814381
2021,163523285,177814382
2021,163523286,177814383
2021,163523287,177814384
2021,163523288,177814385
2021,163523313,177814410
2021,163523314,177814411
2021,163523315,177814412
2021,163523316,177814413
2021,163523317,177814414
2021,165943204,180247914
2021,163523319,177814416
2021,163523320,177814417
2021,165943223,180247934
2021,163523322,177814419
2021,163523323,177814420
2021,163523324,177814419
2021,163523325,177814421
2021,163523326,177814422
2021,163523327,177814423
2021,163523328,177814424
2021,163523328,177814425
2021,163523329,177814426
2021,163523330,177814427
2021,163523331,177814428
2021,163523332,177814429
2021,163523333,177814430
2021,163523334,177814431
2021,163523289,177814386
2021,163523290,177814387
2021,163523291,177814389
2021,163523292,177814388
2021,163523438,177814546
2021,163523439,177814547
2021,163523662,177814790
2021,163523663,177814791
2021,163520435,177811235
2021,163520436,177811236
2021,163520437,177811237
2021,163520438,177811238
2021,163520439,177811239
2021,163520440,177811240
2021,165943250,180247961
2021,165943251,180247962
2021,163520443,177811243
2021,163520444,177811244
2021,163520445,177811245
2021,163520446,177811246
2021,163520447,177811247
2021,163520448,177811248
2021,163520449,177811249
2021,163520450,177811250
2021,163520451,177811251
2021,163520452,177811252
2021,163520453,177811253
2021,163520467,177811269
2021,165944474,180249203
2021,165944480,180249209
2021,165944480,180249210
2021,165944907,180249655
2021,165947651,180252600
2021,165947658,180252607
2021,165947697,180252650
2021,165948009,180252966
2021,158601528,172876037
2021,158585187,172858994
2021,158585188,172858995
2021,158585188,172858996
2021,158585189,172858997
2021,158585208,172859020
2021,158585209,172859021
2021,158585242,172859054
2021,158585243,172859055
2021,158585244,172859056
2021,163357653,177639776
2021,163357653,177639777
2021,158585245,172859057
2021,158585246,172859058
2021,158585247,172859059
2021,158585248,172859060
2021,158585249,172859061
2021,158585229,172859042
2021,158585230,172859043
2021,158585231,172859044
2021,158585232,172859045
2021,158585233,172859046
2021,158585234,172859047
2021,158585235,172859048
2021,158585236,172859049
2021,163357654,177639778
2021,163358287,177640444
2021,158585237,172859050
2021,158585238,172859050
2021,158585239,172859050
2021,163371375,177654276
2021,163371376,177654277
2021,158585267,172859078
2021,158585268,172859079
2021,158585269,172859080
2021,158585270,172859081
2021,158585272,172859083
2021,158585273,172859084
2021,158585274,172859085
2021,163360146,177642376
2021,158585275,172859086
2021,158585277,172859089
2021,158585279,172859092
2021,163362931,177645262
2021,163367324,177649858
2021,163520469,177811271
2021,163432511,177717837
2021,163432511,177717838
2021,158585298,172859113
2021,158585299,172859114
2021,158585300,172859115
2021,158585300,172859116
2021,158585301,172859117
2021,158585301,172859118
2021,158585302,172859119
2021,158585303,172859120
2021,158585304,172859121
2021,158584302,172858026
2021,158584308,172858033
2021,163362932,177645263
2021,163362932,177645264
2021,163362933,177645263
2021,163362933,177645264
2021,163362934,177645263
2021,163362934,177645264
2021,163362935,177645263
2021,163362935,177645264
2021,163362936,177645263
2021,163362936,177645264
2021,158584312,172858037
2021,163358291,177640447
2021,163358291,177640448
2021,163358291,177640449
2021,158584315,172858040
2021,158584318,172858044
2021,158584297,172858020
2021,158584288,172858010
2021,158584291,172858013
2021,158584294,172858017
2021,158585289,172859102
2021,158585290,172859103
2021,158585291,172859104
2021,158585291,172859105
2021,163360147,177642377
2021,158585292,172859106
2021,163360148,177642378
2021,158585293,172859107
2021,158584801,172858583
2021,163357656,177639780
2021,163357656,177639781
2021,163357656,177639782
2021,158584802,172858584
2021,158584803,172858585
2021,158584880,172858662
2021,158585204,172859015
2021,163362938,177645266
