data_year,victim_id,injury_id
2021,158585557,5
2021,158584753,5
2021,158584754,5
2021,158585084,5
2021,158585088,5
2021,158585089,4
2021,158585093,4
2021,158587465,5
2021,158585639,5
2021,158585646,5
2021,158585811,5
2021,158585812,5
2021,158585815,5
2021,158589727,2
2021,158585820,5
2021,158589728,5
2021,158589730,5
2021,158589748,5
2021,158589750,5
2021,158588534,5
2021,158588995,5
2021,158589193,5
2021,158589199,5
2021,158589506,5
2021,158589509,5
2021,158589511,5
2021,158590204,5
2021,158590252,5
2021,158590253,5
2021,158590562,5
2021,158590563,5
2021,158590722,5
2021,158588103,5
2021,158593682,5
2021,158588296,4
2021,158588300,5
2021,158588541,5
2021,158591774,5
2021,158591778,5
2021,158591788,5
2021,158592191,4
2021,158592145,5
2021,158592164,5
2021,158592204,5
2021,158597657,5
2021,158597658,5
2021,158597659,5
2021,158594151,4
2021,158594153,5
2021,158594406,5
2021,158594411,5
2021,158594414,5
2021,158594424,5
2021,158594839,5
2021,158594840,4
2021,163363114,5
2021,163363119,5
2021,158595581,5
2021,158595583,5
2021,158596005,5
2021,158596006,5
2021,158596009,5
2021,158596010,5
2021,158597769,5
2021,158597893,5
2021,158598151,5
2021,158598160,5
2021,158599593,5
2021,158599604,5
2021,163370917,5
2021,158599950,5
2021,158599982,5
2021,158599986,4
2021,158599989,5
2021,158600255,5
2021,158600266,5
2021,158600277,4
2021,158600283,5
2021,158600285,5
2021,158600286,5
2021,158600307,5
2021,158600786,5
2021,158614967,5
2021,158612085,5
2021,158612088,5
2021,158612391,6
2021,158612393,5
2021,158612394,5
2021,158612395,5
2021,158612398,6
2021,158612399,4
2021,158613198,5
2021,158625639,5
2021,158625931,4
2021,158626656,4
2021,158626661,5
2021,158626629,5
2021,158626634,5
2021,158626789,5
2021,158626790,5
2021,163371027,5
2021,163371036,5
2021,163428383,4
2021,163428386,5
2021,163371040,5
2021,163371041,5
2021,163371056,4
2021,163371286,5
2021,163371287,5
2021,163371288,5
2021,163371420,5
2021,163371374,5
2021,163433864,5
2021,163433866,5
2021,163433867,5
2021,163433981,5
2021,163434084,5
2021,163434085,5
2021,163434087,5
2021,163434088,5
2021,163434106,4
2021,163434107,4
2021,163434113,5
2021,163434571,5
2021,163434580,5
2021,163434590,5
2021,163434620,5
2021,163434651,5
2021,163434668,5
2021,163434669,5
2021,165943142,5
2021,163435435,5
2021,163435436,4
2021,163432507,5
2021,163523270,5
2021,165943169,5
2021,163523283,5
2021,163523287,4
2021,163523322,4
2021,163523324,5
2021,163523291,4
2021,163520452,5
2021,151212470,5
2021,163457004,4
2021,163457005,4
2021,163520453,5
2021,163520467,4
2021,158585188,5
2021,150969391,4
2021,150969400,5
2021,151212524,5
2021,158585242,4
2021,158585246,5
2021,158585247,4
2021,158585229,4
2021,158585231,4
2021,158585233,5
2021,158585237,4
2021,158585238,5
2021,158585239,4
2021,158585267,4
2021,163360146,5
2021,158585301,5
2021,163457015,5
2021,158584291,4
2021,158585291,5
2021,158585293,5
2021,158585204,5
2021,163358293,5
2021,150970371,5
2021,158584557,5
2021,151213777,5
2021,158584577,4
2021,158584578,5
2021,158584598,5
2021,158584654,4
2021,158584529,4
2021,158584530,5
2021,158584531,4
2021,158584534,4
2021,158584549,5
2021,151213694,5
2021,158584567,5
2021,158584629,5
2021,150970378,5
2021,150971827,5
2021,158584630,4
2021,158584632,5
2021,158584588,4
2021,165932943,4
2021,151238591,5
2021,150970373,5
2021,150971855,5
2021,158584611,5
2021,158584612,4
2021,158584618,4
2021,151238594,5
2021,151238597,5
2021,158584619,4
2021,158579714,5
2021,163374244,4
2021,151238599,4
2021,158579702,5
2021,163362401,5
2021,158586156,5
2021,154549406,5
2021,151238630,5
2021,151238624,4
2021,163361827,5
2021,163357914,5
2021,158585541,5
2021,154628924,5
2021,154549427,5
2021,154549428,5
2021,151238769,5
2021,151242046,5
2021,154549430,4
2021,151238806,5
2021,158585542,4
2021,158585489,4
2021,154583823,4
2021,158586101,5
2021,154654235,4
2021,151238865,5
2021,158586102,5
2021,158654791,4
2021,154554274,5
2021,154628927,5
2021,154628928,5
2021,158586277,5
2021,154554462,5
2021,154554463,5
2021,158586280,5
2021,158586305,5
2021,158586345,4
2021,158586347,4
2021,158586362,5
2021,158586495,4
2021,163357688,5
2021,163357698,5
2021,163357700,4
2021,163357703,5
2021,163432517,4
2021,154554469,5
2021,158589016,5
2021,158589207,5
2021,158589223,4
2021,158589232,5
2021,158589234,4
2021,158589532,5
2021,163522667,5
2021,154554472,5
2021,154629101,5
2021,158589535,5
2021,154629103,5
2021,158589540,4
2021,158627087,5
2021,158627088,5
2021,158589545,5
2021,158589549,5
2021,158587640,5
2021,158587643,5
2021,158587647,4
2021,158587649,4
2021,158596227,5
2021,158587931,4
2021,158587951,5
2021,158609712,5
2021,158609713,5
2021,158587953,4
2021,158588412,5
2021,163358162,5
2021,158588427,5
2021,158588442,5
2021,158588625,4
2021,158588628,5
2021,158588634,5
2021,158588931,5
2021,158589416,5
2021,158589424,5
2021,158589432,5
2021,158589433,5
2021,158589994,4
2021,154629126,5
2021,158609718,4
2021,154629128,5
2021,154654238,5
2021,154629133,4
2021,158590001,5
2021,154629152,5
2021,158589882,4
2021,154654882,5
2021,154654883,5
2021,158609721,5
2021,163367030,5
2021,158590288,5
2021,163358188,4
2021,158590317,4
2021,163358366,4
2021,163358446,5
2021,158594236,5
2021,158594476,5
2021,158589592,5
2021,158589826,5
2021,158589837,5
2021,158587259,5
2021,163358418,4
2021,158587261,4
2021,158587438,4
2021,163382335,4
2021,158587441,5
2021,158587445,5
2021,158587620,5
2021,158587624,4
2021,158587849,5
2021,163432521,5
2021,158588929,5
2021,158590282,4
2021,158609722,4
2021,158590604,4
2021,163358523,5
2021,163358524,5
2021,163358527,5
2021,158590878,5
2021,158587485,5
2021,158587454,4
2021,158591766,4
2021,158591767,4
2021,158591782,4
2021,158591784,5
2021,163358530,4
2021,158591786,5
2021,163358533,5
2021,158591940,4
2021,158592179,4
2021,158592182,5
2021,158592196,4
2021,158592203,4
2021,158592422,4
2021,154655491,5
2021,163358871,5
2021,163458187,4
2021,158592586,5
2021,163359015,5
2021,158592328,5
2021,163520702,4
2021,158592548,5
2021,158592720,5
2021,163360267,5
2021,158592697,5
2021,158592699,5
2021,158593008,5
2021,158593011,4
2021,158609725,5
2021,163360268,4
2021,163382336,5
2021,163382338,5
2021,163374877,5
2021,158603406,5
2021,158655141,5
2021,158655296,5
2021,158655301,5
2021,163360273,5
2021,158653275,4
2021,158594682,5
2021,163432592,4
2021,158594693,5
2021,158594641,5
2021,158594649,5
2021,163360281,5
2021,163432595,4
2021,158591038,5
2021,158591039,4
2021,163360289,4
2021,158591044,5
2021,163363370,5
2021,158591056,5
2021,158591062,4
2021,158591069,5
2021,158591075,5
2021,158591285,4
2021,158591289,5
2021,158591297,4
2021,158591311,4
2021,158591319,5
2021,158595350,5
2021,158595670,5
2021,158595673,5
2021,158595799,5
