data_year,criminal_act_id,offense_id
2021,6,172858527
2021,9,172859382
2021,9,172858531
2021,9,172858532
2021,9,172858879
2021,9,172858883
2021,9,172858884
2021,6,172858887
2021,9,172858889
2021,8,172858892
2021,9,172861403
2021,9,172859473
2021,9,172859475
2021,9,172870313
2021,6,172859478
2021,9,172859480
2021,6,172859482
2021,9,172859647
2021,6,172861429
2021,9,172859648
2021,9,172859652
2021,9,172863730
2021,9,172859656
2021,9,172863731
2021,9,172863733
2021,6,172863734
2021,9,172863743
2021,9,172863752
2021,9,172863754
2021,9,172862503
2021,9,172862980
2021,9,172863183
2021,9,172863190
2021,9,172863495
2021,9,172863498
2021,9,172863500
2021,9,172864206
2021,6,172864211
2021,9,172864262
2021,9,172864578
2021,6,172864588
2021,6,172864592
2021,9,172864729
2021,9,172864733
2021,6,172864734
2021,9,172864739
2021,6,172867803
2021,6,172867804
2021,6,172864869
2021,6,172861350
2021,6,172861503
2021,6,172861511
2021,9,172861513
2021,9,172861514
2021,9,172861517
2021,6,172861519
2021,9,172862061
2021,6,172862256
2021,9,172867807
2021,9,172862261
2021,9,172862264
2021,9,172862267
2021,7,172862288
2021,8,172862289
2021,6,172862293
2021,9,172862511
2021,9,172865815
2021,9,172865820
2021,9,172865831
2021,9,172866248
2021,9,172866202
2021,9,172866219
2021,9,172866262
2021,9,172870317
2021,6,172932604
2021,1,177653760
2021,6,172871958
2021,9,172871959
2021,6,172868081
2021,8,172868087
2021,6,172868089
2021,6,172868273
2021,9,172868290
2021,9,172868292
2021,9,172868551
2021,9,172868553
2021,9,172868557
2021,9,172868561
2021,6,172868564
2021,9,172868573
2021,9,172869004
2021,9,172869005
2021,9,177645446
2021,9,177645459
2021,9,177645461
2021,9,177645462
2021,9,177645467
2021,9,172869774
2021,9,172869777
2021,8,172890162
2021,6,172869782
2021,6,172869786
2021,9,172869787
2021,6,180243850
2021,9,172870104
2021,9,172870223
2021,9,172870224
2021,9,172870227
2021,9,172870229
2021,9,172872071
2021,9,172872207
2021,9,172872482
2021,9,172872491
2021,6,180243899
2021,9,172873965
2021,9,172873978
2021,9,177653772
2021,1,172874321
