data_year,weapon_id,offense_id,nibrs_weapon_id
2021,41,172859382,
2021,41,172858531,
2021,41,172858532,
2021,41,172858879,
2021,41,172858883,
2021,41,172858884,
2021,41,172858889,
2021,41,172861403,
2021,41,172859473,
2021,41,172859480,
2021,41,172859647,
2021,41,172859648,
2021,41,172859652,
2021,41,172863730,
2021,41,172859656,
2021,41,172863731,
2021,41,172863733,
2021,41,172863752,
2021,41,172863754,
2021,41,172862503,
2021,41,172862980,
2021,41,172863183,
2021,41,172863190,
2021,41,172863495,
2021,41,172863498,
2021,41,172863500,
2021,41,172864206,
2021,41,172864262,
2021,41,172864578,
2021,3,172864588,
2021,41,172864739,
2021,41,172862061,
2021,41,172867807,
2021,41,172862261,
2021,41,172862264,
2021,38,172862288,
2021,41,172862511,
2021,41,172865815,
2021,41,172865820,
2021,41,172865831,
2021,41,172866248,
2021,41,172866202,
2021,41,172866219,
2021,41,172866262,
2021,38,172871958,
2021,38,172871959,
2021,21,172868081,
2021,5,172868273,
2021,41,172868290,
2021,41,172868292,
2021,41,172868551,
2021,41,172868557,
2021,41,172868561,
2021,41,172868573,
2021,41,172869004,
2021,41,172869005,
2021,41,177645459,
2021,41,177645467,
2021,41,172869774,
2021,41,172869777,
2021,41,172870223,
2021,41,172870224,
2021,41,172870227,
2021,41,172872071,
2021,41,172872207,
2021,41,172872482,
2021,41,172872491,
2021,41,172873965,
2021,41,172873978,
2021,41,177653772,
2021,41,172874332,
2021,41,172874365,
2021,41,172874369,
2021,41,172874372,
2021,41,172874659,
2021,41,172874670,
2021,41,172874684,
2021,38,172874691,
2021,38,172874692,
2021,41,172874714,
2021,41,172875239,
2021,41,172890170,
2021,41,172887158,
2021,41,172887161,
2021,1,172887448,
2021,3,172887449,
2021,3,172887450,
2021,41,172887451,
2021,41,172887452,
2021,41,172887457,
2021,41,172887458,
2021,41,172888297,
2021,21,172901630,
2021,21,172901631,
2021,41,172901932,
2021,31,172902733,
2021,31,172902734,
2021,41,172902738,
2021,41,172902706,
2021,41,172902710,
2021,41,172902889,
2021,21,172902890,
2021,41,177653894,
2021,41,177653907,
2021,41,177713259,
2021,41,177713263,
2021,41,177653911,
2021,41,177653927,
2021,41,177654180,
2021,41,177654181,
2021,41,177654182,
2021,41,177654322,
2021,41,177654275,
2021,21,177719240,
2021,21,177719241,
2021,41,177719242,
2021,41,177719243,
2021,41,177719368,
2021,41,177719477,
2021,41,177719478,
2021,3,177719481,
2021,38,177719482,
2021,41,177719504,
2021,41,177719511,
2021,41,177720011,
2021,41,177720021,
2021,41,177720032,
2021,41,177720066,
2021,41,177720098,
2021,41,177720117,
2021,41,180247850,
2021,41,177720925,
2021,41,177720926,
2021,41,177717834,
2021,41,177814364,
2021,38,180247878,
2021,41,177814379,
2021,41,177814384,
2021,41,177814419,
2021,21,177814388,
2021,21,177814389,
2021,38,177811236,
2021,7,177811238,
2021,38,177811252,
2021,38,177811253,
2021,41,177811269,
2021,39,172858995,
2021,41,172859054,
2021,41,172859058,
2021,41,172859059,
2021,41,172859042,
2021,41,172859044,
2021,41,172859046,
2021,38,172859050,
2021,39,172859078,
2021,39,177642376,
2021,39,172859117,
2021,3,172858013,
2021,39,172859104,
2021,41,172859107,
2021,38,172859015,
2021,42,177640451,
2021,42,177640454,
2021,41,172858313,
2021,41,172858333,
2021,38,172858334,
2021,41,172858359,
2021,42,172858417,
2021,41,172858419,
2021,39,172858280,
2021,41,172858281,
2021,21,172858282,
2021,41,172858286,
2021,41,172858306,
2021,38,172858324,
2021,41,172858391,
2021,41,172858392,
2021,38,172858394,
2021,39,172858345,
2021,41,180237360,
2021,39,172858372,
2021,38,172858379,
2021,41,172858381,
2021,42,172853293,
2021,42,172853281,
2021,41,177644734,
2021,38,172860019,
2021,39,177644132,
2021,42,177644133,
2021,41,177640055,
2021,41,172859363,
2021,41,172859364,
2021,41,172859307,
2021,41,172859956,
2021,41,172859957,
2021,41,172932430,
2021,41,172860149,
2021,41,172860152,
2021,38,172860177,
2021,41,172860223,
2021,41,172860225,
2021,41,172860239,
2021,41,172860373,
2021,41,177639819,
2021,41,177639830,
2021,41,177639832,
2021,41,177639835,
2021,41,177717844,
2021,41,177717845,
2021,38,172863003,
2021,41,172863197,
2021,41,172863214,
2021,42,172863224,
2021,39,172863227,
2021,41,172863521,
2021,41,172863525,
2021,41,172863530,
2021,1,172903220,
2021,1,172903221,
2021,41,172863533,
2021,41,172863538,
2021,41,172861582,
2021,41,172861586,
2021,41,172861591,
2021,41,172861594,
2021,41,172870454,
2021,41,172861884,
2021,41,172861907,
2021,41,172861909,
2021,41,172862379,
2021,41,177640314,
2021,41,172862394,
2021,21,172862405,
2021,41,172862604,
2021,41,172862605,
2021,41,172862609,
2021,38,172862615,
2021,42,172862914,
2021,41,172863406,
2021,38,172863415,
2021,41,172863423,
2021,42,172863424,
2021,41,172864003,
2021,41,172864011,
2021,39,172863892,
2021,42,177649554,
2021,41,172864298,
2021,41,177640340,
2021,41,172864327,
2021,21,177640533,
2021,41,177640621,
2021,41,172868380,
2021,42,172868625,
2021,38,172863585,
2021,39,172863832,
2021,41,172863846,
2021,41,172861189,
2021,41,177640589,
2021,41,172861191,
2021,5,180222998,
2021,41,172861376,
