data_year,suspected_drug_type_id,property_id,est_drug_qty,drug_measure_type_id,nibrs_suspected_drug_id
2021,5,143995346,1.000,9,12059820
2021,5,143995610,4.550,1,12059858
2021,5,143995613,2.000,1,12059859
2021,4,143996008,0.600,1,12059904
2021,5,143996012,5.470,1,12059905
2021,5,143997396,0.880,1,12060044
2021,17,143999660,0.100,1,12060270
2021,5,143999759,3.660,1,12060276
2021,5,143999866,0.100,1,12060291
2021,5,143997331,1.000,9,12060035
2021,5,143997454,2.840,1,12060053
2021,5,143997460,8.270,1,12060056
2021,5,143997464,5.000,1,12060057
2021,5,143997971,0.200,5,12060131
2021,5,143997993,37.100,1,12060133
2021,5,143997995,4.210,1,12060134
2021,4,144048977,8.000,9,12066165
2021,16,144002150,3.000,9,12060439
2021,4,144002492,0.300,1,12060463
2021,4,144026564,0.100,1,12062492
2021,17,144026871,0.100,1,12062516
2021,4,147597705,0.100,1,12553986
2021,17,147641649,0.100,1,12560413
2021,17,147597993,0.219,3,12554010
2021,17,147713947,0.100,1,12572266
2021,12,138267404,1.000,3,11173545
2021,4,138460300,3.000,9,11204023
2021,5,138479574,1.000,9,11206748
2021,5,147594086,1.000,1,12553751
2021,5,147713419,14.000,9,12572245
2021,4,138482348,1.000,9,11206999
2021,5,140990812,4.000,9,11618644
2021,5,144014062,1.000,9,12061731
2021,5,141024879,2.000,9,11623639
2021,5,138267405,10.000,1,11173546
2021,2,149526781,9.000,9,12821535
2021,5,138459785,37.000,1,11203964
2021,2,140967632,1.000,9,11614978
2021,12,138459783,1.000,3,11203963
2021,12,138459790,10.000,1,11203965
2021,8,138269189,22.000,1,11173677
2021,5,138478032,5.000,1,11206642
2021,5,138269914,3.000,1,11173728
2021,8,138460767,23.000,1,11204069
2021,12,138461024,10.000,1,11204113
2021,17,141025005,1.000,9,11623655
2021,4,138460745,1.000,1,11204065
2021,12,138460785,1.000,1,11204077
2021,12,138461017,22.000,1,11204111
2021,5,138270954,1.000,1,11173810
2021,12,138478040,523.000,1,11206643
2021,17,147713425,1.000,1,12572246
2021,8,138477824,14.000,1,11206626
2021,16,138477871,11.000,1,11206630
2021,12,140971658,4.000,1,11615447
2021,2,147656116,14.801,1,12562135
2021,4,140971784,8.000,1,11615454
2021,12,140971971,24.000,1,11615467
2021,16,140971978,0.000,1,11615468
2021,5,140972496,2.000,1,11615518
2021,8,140972517,7.000,1,11615521
2021,12,140972520,1.000,3,11615522
2021,12,141003709,8.000,1,11619864
2021,17,147657231,1.000,9,12562411
2021,17,149526293,1.000,9,12821460
2021,17,147658976,1.000,1,12563023
2021,16,147711789,23.000,1,12572162
2021,17,147711795,1.000,9,12572163
2021,2,149526281,0.500,1,12821452
2021,17,138460353,1.000,11,11204025
2021,8,138460352,8.000,9,11204024
2021,5,138460354,3.000,1,11204026
2021,4,138266298,0.000,1,11173478
2021,2,138267586,1.000,1,11173565
2021,2,138269345,0.000,1,11173699
2021,8,141024352,4.000,9,11623585
2021,5,138460236,1.000,3,11204019
2021,5,138267533,5.000,1,11173562
2021,12,141024362,6.000,1,11623587
2021,10,141024590,2.000,1,11623604
2021,8,141024593,3.000,9,11623605
2021,8,141024779,1.000,1,11623627
2021,5,138267546,35.000,1,11173564
2021,5,138270783,1.000,1,11173791
2021,12,144016927,1.000,1,12061935
2021,12,141042922,9.000,1,11625248
2021,12,141042935,2.000,1,11625249
2021,5,138271231,1.000,1,11173822
2021,16,141530830,6.000,5,11691506
2021,5,138479371,3.000,1,11206719
2021,4,138479462,0.000,1,11206732
2021,17,140965494,8.000,1,11614883
2021,12,141531048,13.000,1,11691515
2021,12,141531567,8.000,1,11691533
2021,12,141532401,4.000,1,11691571
2021,12,144050710,13.000,1,12066273
2021,8,144050838,0.000,1,12066282
2021,12,144049566,3.000,1,12066196
2021,16,141031710,2.000,9,11623981
2021,4,144049567,24.000,1,12066197
2021,12,144049776,1.000,1,12066202
2021,12,144049942,3.000,1,12066212
2021,4,144050054,1.000,7,12066223
2021,4,144050055,4.000,1,12066224
2021,8,144050198,1.000,3,12066238
2021,12,144050202,1.000,1,12066239
2021,12,144017201,2.000,1,12061948
2021,8,144025519,8.000,9,12062445
2021,12,144026593,1.000,1,12062493
2021,10,144026594,11.000,1,12062494
2021,12,144026595,8.000,1,12062495
2021,12,144026596,56.000,1,12062496
2021,12,144024902,1.000,1,12062423
2021,2,144025383,6.000,1,12062438
2021,17,144012838,1.000,11,12061674
2021,4,144013121,1.000,11,12061688
2021,12,147597929,1.000,1,12554006
2021,11,147598042,8.000,1,12554013
2021,16,147711764,11.000,1,12572161
2021,12,147597465,3.000,1,12553974
2021,16,147646076,1.000,9,12561151
2021,16,147645234,6.000,1,12561103
2021,17,147600160,3.000,1,12554116
2021,16,147656120,1.000,11,12562136
2021,12,147645235,0.000,1,12561104
2021,17,147713177,55.000,1,12572239
2021,12,147713619,0.000,1,12572254
2021,16,147660923,2.000,9,12563320
2021,4,147660924,10.000,9,12563321
2021,16,147712038,1.000,11,12572169
2021,5,138459628,1.000,1,11203946
2021,16,147712681,1.000,11,12572208
2021,10,138479492,12.000,1,11206737
2021,8,141028139,605.000,9,11623825
2021,7,144050951,1.000,1,12066290
2021,16,144026078,138.000,9,12062465
2021,17,147658918,1.000,1,12563017
2021,17,147713819,1.000,11,12572263
2021,17,138460391,6.000,1,11204029
2021,17,138460390,1.000,1,11204028
2021,5,138270197,2.000,1,11173748
2021,5,138460187,19.000,1,11204018
2021,5,141028150,1.000,1,11623826
