data_year,victim_id,offender_id,relationship_id,nibrs_victim_offender_id
2022,178071637,182778766,18,
2022,178071643,182778771,26,
2022,178071661,182778787,18,
2022,178076111,182783099,18,
2022,178071749,182778879,18,
2022,178071818,182778941,18,
2022,178083147,182790170,18,
2022,178080061,182787016,18,
2022,178080061,182787017,18,
2022,178080061,182787018,18,
2022,178083148,182790171,18,
2022,178071899,182779021,26,
2022,178071782,182778905,26,
2022,178071847,182778969,18,
2022,178071875,182778997,18,
2022,183134369,187782280,3,
2022,178084221,182791256,18,
2022,178083154,182790174,3,
2022,178071934,182779061,18,
2022,178083156,182790175,18,
2022,178071962,182779089,26,
2022,178072891,182779999,18,
2022,178073260,182780378,18,
2022,165944934,170784317,3,
2022,165944959,170784343,26,
2022,178073267,182780386,3,
2022,178073271,182780389,3,
2022,178073278,182780398,18,
2022,178076118,182783107,18,
2022,178195664,182902210,18,
2022,178073707,182780817,18,
2022,178073710,182780821,18,
2022,178073718,182780828,26,
2022,178073720,182780830,18,
2022,178073749,182780853,3,
2022,182948227,187598160,3,
2022,178073706,182780816,18,
2022,178073712,182780822,18,
2022,178084226,182791260,18,
2022,178074157,182781251,3,
2022,178100144,182807046,18,
2022,178074161,182781255,3,
2022,178074163,182781257,18,
2022,178083170,182790188,3,
2022,178083173,182790191,18,
2022,178083176,182790194,18,
2022,178083176,182790195,18,
2022,178076132,182783117,18,
2022,178083181,182790199,18,
2022,178074166,182781260,26,
2022,178074167,182781260,18,
2022,187223879,191812916,16,
2022,178390541,183094482,26,
2022,178074173,182781265,3,
2022,178083185,182790202,18,
2022,178074179,182781271,18,
2022,178074195,182781282,3,
2022,178136633,182842363,18,
2022,178074209,182781295,3,
2022,178074211,182781297,18,
2022,178074219,182781301,18,
2022,178074241,182781321,3,
2022,178074341,182781419,26,
2022,178074242,182781322,18,
2022,178074283,182781364,26,
2022,178074641,182781710,18,
2022,178074662,182781733,18,
2022,178074669,182781738,18,
2022,178074671,182781740,18,
2022,178074678,182781745,26,
2022,178074661,182781732,3,
2022,178074717,182781783,3,
2022,178195669,182902216,18,
2022,178195670,182902216,18,
2022,178195671,182902216,18,
2022,178074720,182781787,18,
2022,178074724,182781791,26,
2022,178074731,182781798,18,
2022,178074732,182781798,18,
2022,178083497,182790527,18,
2022,178074734,182781800,18,
2022,178195832,182902379,18,
2022,178195832,182902380,18,
2022,178074684,182781749,18,
2022,178084236,182791268,18,
2022,178194855,182901337,3,
2022,165946875,170786344,18,
2022,178136654,182842383,18,
2022,178194857,182901339,18,
2022,178083523,182790551,18,
2022,178194860,182901346,18,
2022,178194861,182901347,3,
2022,178194863,182901350,26,
2022,178194866,182901352,18,
2022,178194869,182901354,18,
2022,178194871,182901356,18,
2022,178194874,182901358,18,
2022,178083525,182790553,26,
2022,182916350,187565954,18,
2022,178083527,182790555,3,
2022,178088566,182795713,18,
2022,178194879,182901363,18,
2022,178194880,182901363,18,
2022,178194882,182901364,3,
2022,178084241,182791272,18,
2022,178194885,182901366,26,
2022,178194887,182901369,3,
2022,178194888,182901370,18,
2022,178194888,182901371,18,
2022,178194890,182901373,18,
2022,178194893,182901376,18,
2022,178194897,182901379,18,
2022,178194900,182901382,18,
2022,178195071,182901558,18,
2022,178083544,182790562,3,
2022,178195222,182901722,18,
2022,178209642,182915882,3,
2022,178209646,182915891,18,
2022,178209652,182915897,18,
2022,178076981,182783912,3,
2022,178076982,182783913,26,
2022,178076983,182783914,3,
2022,178076987,182783917,3,
2022,178083546,182790564,18,
2022,178083546,182790565,18,
2022,178076988,182783918,18,
2022,178083552,182790568,18,
2022,165947468,170786939,26,
2022,178083552,182790569,18,
2022,178076994,182783926,18,
2022,178076996,182783927,3,
2022,178076998,182783929,18,
2022,178137101,182842839,18,
2022,178076999,182783930,3,
2022,178077000,182783931,26,
2022,178077002,182783933,18,
2022,178077004,182783935,18,
2022,178077297,182784220,18,
2022,178390550,183094489,3,
2022,178077298,182784221,18,
2022,178077341,182784257,18,
2022,178077342,182784258,3,
2022,178077344,182784259,18,
2022,178083554,182790571,3,
2022,178077346,182784261,18,
2022,178077346,182784262,18,
2022,178077347,182784263,18,
2022,178077348,182784264,18,
2022,178077351,182784267,18,
2022,178083506,182790536,3,
2022,178083509,182790538,3,
2022,178083511,182790539,18,
2022,178083514,182790542,18,
2022,178083514,182790543,18,
2022,178083515,182790542,18,
2022,178083515,182790543,18,
2022,178083516,182790542,18,
2022,178083516,182790543,18,
2022,178077354,182784272,3,
2022,178077356,182784274,18,
2022,178077359,182784277,18,
2022,178077362,182784280,3,
2022,178077365,182784283,18,
2022,178077368,182784286,3,
2022,178083519,182790546,18,
2022,178083864,182790899,18,
2022,165947472,170786943,18,
2022,178070095,182777191,18,
2022,178083866,182790901,3,
2022,178070195,182777293,18,
2022,178070270,182777371,18,
2022,178070314,182777415,18,
2022,178083869,182790904,26,
2022,178070358,182777455,26,
2022,178070381,182777480,3,
2022,178083870,182790905,18,
