data_year,property_id,incident_id,prop_loss_id,stolen_count,recovered_count
2022,158724327,160978528,5,,
2022,158724328,160978528,7,,
2022,158728823,160983699,7,,
2022,158724464,160978693,7,,
2022,158728824,160983700,4,,
2022,158724472,160978710,7,,
2022,158722825,160976720,4,,
2022,158740954,160998442,7,,
2022,158722828,160976724,7,,
2022,158726786,160981297,7,,
2022,158726787,160981299,7,,
2022,158953590,161256843,4,,
2022,162394496,165242215,4,,
2022,158719127,160972080,7,,
2022,158723051,160976987,4,,
2022,158723060,160976994,4,,
2022,158719123,160972078,5,,1
2022,158719124,160972078,7,1,
2022,158719128,160972081,1,,
2022,158723065,160977004,4,,
2022,158723079,160977018,4,,
2022,158719136,160972087,7,,
2022,158723089,160977034,7,,
2022,158719149,160972100,5,,
2022,158719150,160972100,7,,
2022,158720048,160973193,4,,
2022,158720049,160973193,7,,
2022,158720071,160973215,7,,
2022,158726788,160981300,7,,
2022,158720093,160973238,4,,
2022,158723248,160977215,4,,
2022,158723249,160977215,7,,
2022,158723251,160977221,4,,
2022,158720184,160973335,1,,
2022,158720185,160973335,4,,
2022,158726791,160981303,4,,
2022,158726792,160981303,7,,
2022,158723252,160977223,4,,
2022,158720242,160973411,7,,
2022,158740956,160998444,7,,
2022,158720274,160973456,7,,
2022,158723256,160977232,4,,
2022,158723260,160977239,4,,
2022,158728827,160983708,5,,1
2022,158728828,160983708,7,1,
2022,158740965,160998453,7,,
2022,158720038,160973181,7,,
2022,158720060,160973204,7,,
2022,158958817,161263076,7,,
2022,158728790,160983661,4,,
2022,158728791,160983661,7,,
2022,158723243,160977206,4,,
2022,158723245,160977210,4,,
2022,158728793,160983663,7,,
2022,158728794,160983664,7,,
2022,158723247,160977214,7,,
2022,158728795,160983665,7,,
2022,158720141,160973287,7,,
2022,158723250,160977219,4,,
2022,158720166,160973312,4,,
2022,158721552,160975126,7,,
2022,158723255,160977231,4,,
2022,158958826,161263087,7,,
2022,158721555,160975133,7,,
2022,158728796,160983666,1,,
2022,158728797,160983666,4,,
2022,158728798,160983668,7,,
2022,158723259,160977238,4,,
2022,158723261,160977240,4,,
2022,158721836,160975477,4,,
2022,158721837,160975477,7,,
2022,158721838,160975480,7,,
2022,158723263,160977243,4,,
2022,158721823,160975454,4,,
2022,158721826,160975458,4,,
2022,158721827,160975458,7,,
2022,158721828,160975461,7,,
2022,158958827,161263090,7,,
2022,158958829,161263093,5,,
2022,158958830,161263093,7,,
2022,158728799,160983671,7,,
2022,158721839,160975482,4,,
2022,158728801,160983673,7,,
2022,158721840,160975483,7,,
2022,158728802,160983675,4,,
2022,158721842,160975486,4,,
2022,158721844,160975488,7,,
2022,158723276,160977256,4,,
2022,158728804,160983679,4,,
2022,158728805,160983679,7,,
2022,158721845,160975489,7,,
2022,158723278,160977259,4,,
2022,158721846,160975490,4,,
2022,158740969,160998458,7,1,
2022,158722039,160975730,7,,
2022,158722041,160975733,7,,
2022,158722051,160975742,7,,
2022,158722053,160975745,7,,
2022,158722060,160975751,4,,
2022,158728806,160983680,7,,
2022,158741015,160998506,7,,
2022,158723515,160977536,4,,
2022,158722059,160975749,7,,
2022,158723757,160977817,4,,
2022,158722061,160975754,7,,
2022,158722071,160975765,4,,
2022,158728807,160983682,4,,
2022,158722079,160975774,7,,
2022,158728808,160983683,7,,
2022,158723767,160977834,4,,
2022,162911181,165849238,7,,
2022,158723773,160977841,4,,
2022,158728847,160983732,4,,
2022,158728848,160983732,7,,
2022,158722254,160976048,7,,
2022,158741018,160998509,7,,
2022,158732895,160988693,5,,
2022,158732896,160988693,7,,
2022,158722310,160976112,7,,
2022,158722312,160976115,7,,
2022,158722315,160976122,5,,1
2022,158722316,160976122,7,1,
2022,158723780,160977847,4,,
2022,158728851,160983735,4,,
2022,158728852,160983735,7,,
2022,158732897,160988695,4,,
2022,158722318,160976124,7,,
2022,158723786,160977851,4,,
2022,158722321,160976129,7,,
2022,158722322,160976131,7,,
2022,158728853,160983736,7,,
2022,158722324,160976136,7,,
2022,158722325,160976138,7,,
2022,162911182,165849239,4,,
2022,158723762,160977824,7,,
2022,158958831,161263095,5,,1
2022,158958832,161263095,7,1,
2022,158726796,160981306,7,,
2022,158722331,160976149,5,,
2022,158722332,160976149,7,,
2022,158723765,160977828,4,,
2022,158728854,160983737,4,,
2022,158728855,160983738,1,,
2022,158728856,160983738,4,,
2022,158722738,160976627,7,,
2022,158741020,160998511,1,,
2022,158723769,160977836,4,,
2022,158723770,160977838,4,,
2022,158722719,160976601,5,,1
2022,158722720,160976601,7,1,
2022,158723986,160978101,7,,
2022,158741022,160998514,7,,
2022,158723988,160978106,4,,
2022,158723989,160978109,4,,
2022,158722955,160976870,7,,
2022,158729074,160984018,5,,
2022,158722956,160976871,4,,
2022,158722957,160976871,7,,
2022,158722958,160976872,7,,
2022,158722959,160976874,4,,
2022,158722960,160976874,7,,
2022,158723997,160978122,4,,
2022,158724000,160978125,1,,
2022,158813462,161083553,7,,
2022,158767777,161028795,5,,1
2022,158767778,161028795,7,1,
2022,158724004,160978131,4,,
2022,158723160,160977128,7,,
2022,158741026,160998517,7,,
2022,158724007,160978138,4,,
2022,158741341,160998863,5,,
2022,158741342,160998863,7,,
2022,158723162,160977131,4,,
2022,158723163,160977131,7,,
2022,158723165,160977133,4,,
2022,158724011,160978147,7,,
2022,158729075,160984019,4,,
2022,158723167,160977135,7,,
2022,158724018,160978155,4,,
2022,158729076,160984020,7,,
2022,158723170,160977137,4,,
2022,158723171,160977137,7,,
2022,158723173,160977139,7,,
2022,158767781,161028798,7,,
2022,158724017,160978154,4,,
2022,158729078,160984022,7,,
2022,158729079,160984023,7,,
2022,158723177,160977141,7,,
2022,158768987,161030394,5,,1
2022,158768988,161030394,7,1,
2022,158723179,160977144,4,,
2022,158723180,160977144,7,,
2022,158732915,160988717,4,,
2022,158732916,160988718,4,,
2022,158723181,160977146,7,,
2022,158724178,160978335,4,,
2022,158724183,160978339,4,,
2022,158723188,160977155,5,,
2022,158723189,160977155,7,,
2022,158724300,160978490,4,,
2022,158953592,161256846,4,,
2022,158813463,161083555,7,,
2022,158813464,161083556,7,,
2022,158813465,161083557,7,,
2022,158813466,161083558,7,,
2022,158724404,160978612,5,,
2022,158729080,160984025,7,,
2022,158729081,160984026,7,,
2022,158723161,160977129,7,,
2022,158723166,160977134,7,,
2022,158723172,160977138,7,,
2022,158768992,161030399,7,,
2022,158723174,160977140,4,,
2022,158723175,160977140,5,,
2022,158723176,160977140,7,,
2022,158723325,160977319,7,,
2022,158729083,160984028,4,,
2022,158723326,160977321,7,,
2022,158729084,160984029,5,,1
2022,158729085,160984029,7,1,
2022,158732918,160988720,4,,
2022,158723334,160977328,4,,
2022,158723335,160977328,7,,
2022,158959081,161263372,7,,
2022,158732919,160988722,4,,
2022,158724579,160978872,4,,
2022,158724580,160978876,4,,
2022,162394498,165242217,7,,
2022,158724584,160978882,4,,
2022,165637386,168966023,7,,
2022,158723330,160977325,4,,
2022,158723331,160977325,7,,
2022,158729086,160984030,4,,
2022,158726798,160981308,7,,
2022,158724604,160978914,4,,
2022,158724606,160978917,7,,
2022,158723578,160977609,5,,1
2022,158723579,160977609,7,1,
2022,158723580,160977610,4,,
2022,158813467,161083559,7,,
2022,162394499,165242218,4,,
2022,162394500,165242218,7,,
2022,158724613,160978926,4,,
2022,158724615,160978928,4,,
2022,158724618,160978933,7,,
2022,158724622,160978937,4,,
2022,158723582,160977612,4,,
2022,158723583,160977612,7,,
2022,158724588,160978891,4,,
2022,158724589,160978893,4,,
2022,158724590,160978894,4,,
2022,158724592,160978897,4,,
2022,158724593,160978898,4,,
2022,158723585,160977616,4,,
2022,158723586,160977616,7,,
2022,158724594,160978900,4,,
2022,158724597,160978904,4,,
2022,158724598,160978906,7,,
2022,158719564,160972633,4,,
2022,158719427,160972434,4,,
2022,158719448,160972457,4,,
2022,158719469,160972486,4,,
2022,158719470,160972486,7,,
2022,158723588,160977618,7,,
2022,158726802,160981314,7,,
2022,158723596,160977629,7,,
