data_year,suspected_drug_type_id,property_id,est_drug_qty,drug_measure_type_id,nibrs_suspected_drug_id
2022,12,162374437,1.000,9,14655047
2022,12,162374438,1.000,9,14655048
2022,12,162374428,1.000,9,14655046
2022,12,162374619,1.000,9,14655053
2022,12,162355280,1.000,9,14653191
2022,12,162355281,1.000,9,14653192
2022,12,162387836,1.000,9,14655421
2022,8,162387837,1.000,1,14655422
2022,12,162388201,2.000,9,14655516
2022,12,162388229,1.000,9,14655531
2022,12,162388230,1.000,9,14655532
2022,12,162388231,1.000,9,14655533
2022,4,165502534,87.000,9,15078061
2022,4,149527137,1.000,1,12821555
2022,16,149528611,34.000,1,12821672
2022,16,151473434,2.000,1,13099323
2022,12,162383782,1.000,9,14655294
2022,12,162381181,1.000,9,14655250
2022,12,162381878,2.000,9,14655252
2022,2,162382728,1.000,9,14655255
2022,12,162392161,1.000,9,14656007
2022,17,162384479,2.000,9,14655361
2022,7,162389166,50.000,9,14655697
2022,12,162384068,1.000,9,14655337
2022,12,149529247,1.000,1,12821679
2022,4,165502003,1.000,9,15077908
2022,17,165498041,1.000,9,15077069
2022,12,162388798,1.000,9,14655626
2022,12,149529300,8.000,1,12821680
2022,2,165498283,1.000,1,15077136
2022,12,149529881,1.000,1,12821694
2022,12,165962435,43.000,1,15146400
2022,2,162389697,6.500,1,14655831
2022,8,165499174,1.000,9,15077365
2022,4,162395967,121.000,1,14656321
2022,12,162396053,1.000,9,14656333
2022,8,162397208,2.000,9,14656402
2022,12,162392324,2.000,9,14656024
2022,12,162392581,21.000,1,14656041
2022,2,165962480,2.000,9,15146405
2022,8,162391025,1.000,9,14655919
2022,12,149531985,1.000,1,12821822
2022,7,162391174,14.000,9,14655926
2022,12,165962485,1.000,1,15146406
2022,7,162521388,4.000,9,14670780
2022,8,149532013,1.000,1,12821824
2022,2,162521149,2.000,1,14670765
2022,8,165525197,6.000,9,15082944
2022,12,149532019,1.000,1,12821825
2022,8,165572693,1.000,9,15087630
2022,12,149532029,3.000,1,12821826
2022,8,151472385,13.000,9,13099218
2022,17,149532043,1.000,1,12821828
2022,16,151455753,1.000,1,13096547
2022,17,151456119,2.000,1,13096573
2022,12,151456491,2.000,1,13096599
2022,12,151453063,1.000,1,13096302
2022,2,151453068,7.000,1,13096303
2022,2,151453072,14.000,1,13096304
2022,12,151453075,1.000,1,13096305
2022,12,151454547,1.000,1,13096441
2022,8,151473465,16.000,1,13099326
2022,8,151454975,3.000,1,13096484
2022,8,151454978,1.000,1,13096486
2022,12,151455014,1.000,1,13096487
2022,12,162365352,1.000,9,14654334
2022,8,151449670,6.000,9,13095915
2022,8,155228059,23.000,9,13672591
2022,2,162470129,7.100,9,14665052
2022,4,151487459,1.000,1,13101980
2022,12,151455609,1.000,11,13096536
2022,12,155189067,1.000,9,13667254
2022,8,151473735,1.000,1,13099357
2022,8,151492126,2.000,1,13102367
2022,8,151492823,1.000,1,13102477
2022,2,151493234,3.000,1,13102515
2022,12,151472360,11.000,1,13099216
2022,12,151472361,1.000,1,13099217
2022,8,151493427,1.000,1,13102536
2022,8,151493584,1.000,1,13102542
2022,17,155189539,1.000,9,13667285
2022,16,151493613,5.000,1,13102543
2022,12,155189963,9.000,9,13667335
2022,12,162380081,1.000,1,14655206
2022,4,155228502,2.000,1,13672617
2022,16,162374180,1.000,1,14655015
2022,16,151473495,1.000,1,13099328
2022,12,151473571,1.000,1,13099335
2022,12,151473575,1.000,1,13099336
2022,8,151473793,1.000,1,13099364
2022,12,151473820,2.000,1,13099374
2022,8,155188632,1.000,9,13667198
2022,5,155228598,1.000,3,13672621
2022,2,155188269,1.000,1,13667158
2022,12,155188270,1.000,1,13667159
2022,12,162385011,1.000,9,14655377
2022,8,151493412,1.000,1,13102534
2022,12,162929343,1.000,9,14720895
2022,16,151493378,4.000,1,13102531
2022,8,155228346,1.000,9,13672607
2022,16,151493788,1.000,1,13102552
2022,2,155186731,1.000,1,13667039
2022,4,155231332,1.000,9,13672780
2022,12,162398068,1.000,1,14656467
2022,4,155185622,1.000,1,13667000
2022,4,155227012,3.000,9,13672527
2022,12,155227672,2.000,9,13672569
2022,16,155189450,1.000,1,13667275
2022,4,155189903,1.000,1,13667323
2022,12,155187848,1.000,1,13667127
2022,8,155191711,19.000,1,13667469
2022,8,155187931,2.000,1,13667135
2022,4,162388771,195.000,1,14655620
2022,4,162388772,1.000,9,14655621
2022,5,155192254,1.000,1,13667552
2022,8,162388775,10.000,9,14655622
2022,10,162496981,1.000,9,14668544
2022,2,155229187,1.000,1,13672657
2022,13,155229192,1.000,1,13672658
2022,2,162496986,1.000,9,14668545
2022,8,155229326,1.000,1,13672664
2022,8,155233215,2.000,1,13672870
2022,2,155229331,1.000,1,13672665
2022,8,162388987,1.000,1,14655640
2022,12,155229204,1.000,1,13672659
2022,8,162391265,3.000,9,14655932
2022,12,162391978,1.000,9,14655998
2022,8,155191009,1.000,1,13667365
2022,8,155191726,1.000,1,13667473
2022,8,162392179,2.300,1,14656008
2022,8,162392180,1.000,1,14656009
2022,12,162392327,1.000,1,14656025
2022,5,162521303,414.568,1,14670772
2022,16,155197988,14.000,1,13668261
2022,8,162388988,1.000,1,14655641
2022,2,155195986,1.000,1,13668054
2022,5,162521417,117.700,1,14670782
2022,16,155197464,1.000,1,13668204
2022,12,155197467,2.000,1,13668205
2022,16,155197310,12.000,1,13668190
2022,2,162521258,2.000,9,14670769
2022,16,155191282,1.000,1,13667416
2022,12,162470230,1.000,1,14665064
2022,13,162506764,1.000,9,14669288
2022,8,162506806,2.000,1,14669297
2022,17,155193934,1.000,1,13667829
2022,8,162947167,16.000,9,14723535
2022,2,155194735,1.000,1,13667958
2022,8,155194742,1.000,1,13667959
2022,8,162947172,1.000,1,14723536
2022,12,162921663,1.000,1,14719608
2022,8,162922086,1.000,1,14719641
2022,4,162922100,0.500,1,14719642
2022,4,162336530,1.000,1,14651881
2022,12,162389010,4.000,1,14655642
2022,12,162389013,1.000,1,14655643
2022,12,162389014,1.000,1,14655644
2022,12,162389015,1.000,1,14655645
2022,11,162922871,1.000,9,14719691
2022,12,162923407,1.000,1,14719734
2022,16,162389016,37.000,1,14655646
2022,4,155224237,95.000,9,13672353
2022,16,162389017,1.000,1,14655647
2022,12,162389018,1.000,1,14655648
2022,8,162398269,5.000,1,14656536
2022,17,162389019,1.000,1,14655649
2022,12,162389020,6.000,1,14655650
2022,17,162389021,1.000,1,14655651
2022,4,162388777,18.000,9,14655623
2022,8,162496988,5.000,9,14668546
2022,17,149526551,19.000,9,12821519
2022,8,162389022,1.000,1,14655652
2022,12,162389023,1.000,1,14655653
2022,16,162398270,1.000,1,14656537
2022,4,162398271,1.000,1,14656538
2022,12,162389024,1.000,1,14655654
2022,8,162389025,1.000,1,14655655
2022,8,162389026,1.000,1,14655656
2022,17,162389027,1.000,1,14655657
2022,17,162389028,1.000,1,14655658
2022,2,162389029,1.000,1,14655659
2022,16,162389031,41.000,1,14655661
2022,16,162336531,18.000,1,14651882
2022,16,162336532,1.000,1,14651883
2022,8,162336533,45.000,1,14651884
2022,12,162336524,1.000,1,14651878
2022,8,162336526,4.000,1,14651879
2022,12,162336534,1.000,1,14651885
2022,16,162336535,4.000,1,14651886
2022,8,162336536,1.000,1,14651887
2022,8,162336537,60.000,1,14651888
2022,12,162498117,1.000,1,14668611
2022,16,162498119,1.000,1,14668613
2022,12,162393977,1.000,1,14656136
2022,16,162498124,5.000,1,14668614
2022,16,162498127,4.000,1,14668616
2022,17,162498132,1.000,1,14668618
2022,5,151450731,1.000,11,13096056
2022,12,162498139,2.000,1,14668620
2022,12,162498118,1.000,1,14668612
2022,12,162498125,1.000,1,14668615
2022,16,162498129,2.000,1,14668617
2022,5,151444885,14.000,3,13095512
2022,16,162498138,1.000,1,14668619
2022,2,162498142,1.000,1,14668621
2022,12,162498144,14.000,1,14668622
2022,12,162498148,18.000,1,14668624
2022,16,162498153,1.000,1,14668627
2022,12,162498165,1.000,1,14668630
2022,12,162498147,1.000,1,14668623
2022,16,162394009,1.000,1,14656146
2022,16,165635742,1.000,1,15096898
2022,8,162398273,1.000,1,14656540
2022,8,162398274,30.000,1,14656541
2022,16,165635743,1.000,1,15096899
2022,2,151517997,0.000,1,13107286
2022,17,155229382,1.000,3,13672667
2022,12,162398275,1.000,1,14656542
2022,8,162398306,1.000,1,14656547
2022,2,162398307,1.000,1,14656548
2022,12,162527418,1.000,1,14671069
2022,8,162398308,6.000,1,14656549
2022,16,162398309,1.000,1,14656550
2022,12,162398310,5.000,1,14656551
2022,11,155188252,3.000,1,13667154
2022,12,162398311,1.000,1,14656552
2022,5,155232838,1.000,11,13672851
2022,4,155230237,4.000,9,13672721
2022,2,162388779,1.000,11,14655624
2022,16,162394280,2.000,1,14656166
2022,12,162394290,1.000,1,14656167
2022,16,162394291,5.000,1,14656168
2022,12,162394292,2.000,1,14656169
2022,17,162522391,1.000,1,14670853
2022,8,162394369,15.000,1,14656180
2022,12,162394695,1.000,1,14656210
2022,12,162394796,1.000,1,14656222
2022,12,162394799,1.000,1,14656223
2022,12,162394805,1.000,1,14656224
2022,13,162395020,1.000,1,14656240
2022,8,162395141,10.000,1,14656245
2022,17,162390966,1.000,11,14655917
2022,12,162395302,1.000,1,14656249
2022,12,162395305,1.000,1,14656250
2022,8,162395312,1.000,1,14656251
2022,4,162395563,1.000,1,14656279
2022,12,162522754,4.000,1,14670880
2022,12,162395569,1.000,1,14656280
2022,7,162395571,5.000,1,14656281
2022,12,162395603,1.000,1,14656283
2022,8,162395608,1.000,1,14656284
2022,17,162390967,1.000,11,14655918
2022,12,162395636,1.000,1,14656286
2022,12,162395637,1.000,1,14656287
2022,4,162395811,1.000,1,14656303
2022,2,162393014,2.000,1,14656064
2022,8,162393679,1.000,1,14656117
2022,2,162922772,61.000,1,14719673
2022,13,162526828,10.000,1,14671008
2022,8,162527116,1.000,1,14671022
2022,12,162520968,3.000,1,14670745
2022,17,162515284,3.000,1,14669867
2022,17,162519815,1.000,11,14670617
2022,2,162693142,4.000,1,14692040
2022,8,162900503,1.000,1,14717690
2022,2,162900521,2.000,1,14717696
2022,8,162923058,1.000,1,14719704
2022,4,149527402,105.000,9,12821605
2022,7,162521006,3.000,1,14670747
2022,8,162521008,1.000,1,14670748
2022,8,162522743,1.000,1,14670878
2022,12,162522978,3.000,1,14670895
2022,13,162523482,1.000,1,14670913
2022,2,162523525,1.000,1,14670914
2022,12,162526069,1.000,1,14670955
2022,12,162526405,15.000,1,14670973
2022,8,162522048,1.000,1,14670833
2022,16,162522049,2.000,1,14670834
2022,12,162522070,1.000,1,14670835
2022,2,162522815,1.000,1,14670884
2022,12,162526423,1.000,1,14670974
2022,4,162526425,3.000,1,14670975
2022,8,162526667,2.000,1,14670996
2022,12,162924218,1.000,1,14719790
2022,12,162925090,1.000,1,14719925
2022,8,162928810,1.000,1,14720734
2022,12,162921265,1.000,1,14719571
