data_year,property_id,prop_desc_id,property_value,date_recovered,nibrs_prop_desc_id
2022,158724327,63,800,2022-01-01,
2022,158724328,63,800,,
2022,158728823,63,300,,
2022,158724464,2,17,,
2022,158728824,38,4600,,
2022,158724472,63,80,,
2022,158722825,38,400,,
2022,158740954,19,60,,
2022,158722828,9,0,,
2022,158726786,19,264,,
2022,158726787,2,25,,
2022,158953590,38,265,,
2022,162394496,38,800,,
2022,158719127,42,2022,,
2022,158723051,63,1,,
2022,158723060,63,1,,
2022,158719123,3,18000,2022-01-03,
2022,158719124,3,18000,,
2022,158723065,63,40,,
2022,158723079,30,800,,
2022,158719136,20,110,,
2022,158719136,25,40,,
2022,158719136,47,0,,
2022,158723089,8,117,,
2022,158719149,8,8,2022-01-03,
2022,158719150,8,8,,
2022,158720048,63,100,,
2022,158720049,7,300,,
2022,158720071,19,240,,
2022,158720071,42,153,,
2022,158726788,19,58,,
2022,158720093,35,100,,
2022,158723248,31,1100,,
2022,158723249,8,4,,
2022,158723251,38,200,,
2022,158720185,30,200,,
2022,158726791,38,300,,
2022,158726792,16,25,,
2022,158723252,38,200,,
2022,158720242,27,250,,
2022,158740956,27,7000,,
2022,158720274,26,180,,
2022,158723256,63,1,,
2022,158723260,38,200,,
2022,158728827,3,3500,2022-01-06,
2022,158728828,3,3500,,
2022,158740965,6,97,,
2022,158720038,20,30,,
2022,158720060,7,1050,,
2022,158958817,19,190,,
2022,149545365,16,50,,
2022,158728790,38,250,,
2022,158728791,10,2,,
2022,158723243,30,600,,
2022,158723245,35,200,,
2022,158728793,38,1,,
2022,158728794,20,100,,
2022,158728794,36,400,,
2022,158728794,63,400,,
2022,158723247,9,0,,
2022,158728795,6,300,,
2022,158728795,63,100,,
2022,158720141,7,200,,
2022,158720141,63,1,,
2022,158723250,31,1500,,
2022,158720166,35,100,,
2022,158721552,9,0,,
2022,158721552,20,40,,
2022,158721552,63,1000,,
2022,158723255,38,3000,,
2022,158958826,2,52,,
2022,158721555,20,448,,
2022,158728797,30,500,,
2022,158728798,19,15,,
2022,158723259,38,150,,
2022,158723261,38,230,,
2022,158721836,38,500,,
2022,158721837,63,10,,
2022,158721838,63,100,,
2022,158723263,7,540,,
2022,158723263,35,2200,,
2022,158723263,63,260,,
2022,158721823,35,280,,
2022,158721826,38,500,,
2022,158721827,17,20,,
2022,158721827,26,10,,
