data_year,suspect_using_id,offense_id
2022,4,192428561
2022,4,192434817
2022,4,192428766
2022,4,192428775
2022,4,192434818
2022,4,192434819
2022,4,192428780
2022,4,192428786
2022,4,192428788
2022,4,192428791
2022,4,192434821
2022,4,192428794
2022,4,192425753
2022,4,192428796
2022,4,192434822
2022,4,192434823
2022,4,192426168
2022,4,192428801
2022,4,192428804
2022,4,192426179
2022,4,192434824
2022,4,192434825
2022,4,192434826
2022,4,192426186
2022,4,192452580
2022,4,192426190
2022,4,192431919
2022,4,192431921
2022,4,192749540
2022,4,197308039
2022,4,192420693
2022,4,192420699
2022,4,192426538
2022,4,192426553
2022,4,192426558
2022,4,192420696
2022,4,192420700
2022,4,192420701
2022,4,192426564
2022,4,192434827
2022,4,192434828
2022,4,192426584
2022,4,192420709
2022,4,192426604
2022,4,192420731
2022,4,192421992
2022,4,192421993
2022,4,192421994
2022,4,192422016
2022,4,192431922
2022,4,192422040
2022,4,192426610
2022,4,192440871
2022,4,192422079
2022,4,192422127
2022,4,192426843
2022,4,192426844
2022,4,192426853
2022,4,192422139
2022,4,192422140
2022,4,192431925
2022,4,192431926
2022,4,192426855
2022,4,192422164
2022,4,192426864
2022,4,192422228
2022,4,192422229
2022,4,192452582
2022,4,192422281
2022,4,192422282
2022,4,192426866
2022,4,192426870
2022,4,192426875
2022,4,192434830
2022,4,192452592
2022,4,192421980
2022,4,192422005
2022,4,192756827
2022,4,180247972
2022,4,180248017
2022,4,192434756
2022,4,192434757
2022,4,192422050
2022,4,192426831
2022,4,192426836
2022,4,192426837
2022,4,192434759
2022,4,192434760
2022,4,192426842
2022,4,192434761
2022,4,192422090
2022,4,192426850
2022,4,192440874
2022,4,192440875
2022,4,192426854
2022,4,192422116
2022,4,192424192
2022,4,192424199
2022,4,192426862
2022,4,192426865
2022,4,192756840
2022,4,192424200
2022,4,192434762
2022,4,192434763
2022,4,192434764
2022,4,192434766
2022,4,192434767
2022,4,192424628
2022,4,192424634
2022,4,192434768
2022,4,192434769
2022,4,192426874
2022,4,192434770
2022,4,192434771
2022,4,192426876
2022,4,192424636
2022,4,192424637
2022,4,192424642
2022,4,192426880
2022,4,192424603
2022,4,192424607
2022,4,192424612
2022,4,192424613
2022,4,192424616
2022,4,192424623
2022,4,192756841
2022,4,192756843
2022,4,192756846
2022,4,192424635
2022,4,192424641
2022,4,192434772
2022,4,192434773
2022,4,192424644
2022,4,192424645
2022,4,192424646
2022,4,192434775
2022,4,192434776
2022,4,192434777
2022,4,192426885
2022,4,192424647
2022,4,192434778
2022,4,192434779
2022,4,192424650
2022,4,192434780
2022,4,192434781
2022,4,192424652
2022,4,192426887
2022,4,192426892
2022,4,192434782
2022,4,192434783
2022,4,192426902
2022,4,192434785
2022,4,192434786
2022,4,192434787
2022,4,192434788
2022,4,192424653
2022,4,192426905
2022,4,192426906
2022,4,192426907
2022,4,192424654
2022,4,198006011
2022,4,192452598
2022,4,192452599
2022,4,192424966
2022,4,192424971
2022,4,192426909
2022,4,192424986
2022,4,192424989
2022,4,192424996
2022,4,192424997
2022,4,192434789
2022,4,192452658
2022,4,192427262
2022,4,192434790
2022,4,192424994
2022,4,192427632
2022,4,192425000
2022,4,192425014
2022,4,192434791
2022,4,192434792
2022,4,192434793
2022,4,192427642
2022,4,192425026
2022,4,192427648
2022,4,192434794
2022,4,192434795
2022,4,192434797
2022,4,192427653
2022,4,198006014
2022,4,192427661
2022,4,192434858
2022,4,192434859
2022,4,192425373
2022,4,192452661
2022,4,192425407
2022,4,192440884
2022,4,192425455
2022,4,192425458
2022,4,192425465
2022,4,192434862
2022,4,192427667
2022,4,192434863
2022,4,192434864
2022,4,192434865
2022,4,192440886
2022,4,192425467
2022,4,192425468
2022,4,192427672
2022,4,192425473
2022,4,192425476
2022,4,192434866
2022,4,192434867
2022,4,192425484
2022,4,192425486
2022,4,198006015
2022,4,198006016
2022,4,198006017
2022,4,192427641
2022,4,192425495
2022,4,192425497
2022,4,192425498
2022,4,192756849
2022,4,192431930
2022,4,192431931
2022,4,192425501
2022,4,192427646
2022,4,192425503
2022,4,192434868
2022,4,180249179
2022,4,180249184
2022,4,180249190
2022,4,192434869
2022,4,180249193
2022,4,192425505
2022,4,192434870
2022,4,192434871
2022,4,192434872
2022,4,192434873
2022,4,192426070
2022,4,192452664
2022,4,192427655
2022,4,192427658
2022,4,192426034
2022,4,192427985
2022,4,192427989
2022,4,192452667
2022,4,192427992
2022,4,192427996
2022,4,192428001
2022,4,192428006
2022,4,192428000
2022,4,192426389
2022,4,192428007
2022,4,192434876
2022,4,192434877
2022,4,192434878
2022,4,192435208
2022,4,192426390
2022,4,192426391
2022,4,192426392
2022,4,192426393
2022,4,192426394
2022,4,192426396
2022,4,192426397
2022,4,192426398
2022,4,192428012
2022,4,192428016
2022,4,192428017
2022,4,192426719
2022,4,192552741
2022,4,192488544
2022,4,192428025
2022,4,192426722
2022,4,192452671
2022,4,192452672
2022,4,192552742
2022,4,192428036
2022,4,192428039
2022,4,192453099
2022,4,192426725
2022,4,192426726
2022,4,192426727
2022,4,192428040
2022,4,192426729
2022,4,192428047
2022,4,192435209
2022,4,192426731
2022,4,192426732
2022,4,192428059
2022,4,192428019
2022,4,192428035
2022,4,192435210
2022,4,192428037
2022,4,192426734
2022,4,192426735
2022,4,192426737
2022,4,192488547
2022,4,192428048
2022,4,192428058
2022,4,192435212
2022,4,192435213
2022,4,192435214
2022,4,192426740
2022,4,192490329
2022,4,192426743
2022,4,192426744
2022,4,192428068
2022,4,192440911
2022,4,192440912
2022,4,192426746
2022,4,192426749
2022,4,192426750
2022,4,192428296
2022,4,192435215
2022,4,180249202
2022,4,192428302
2022,4,192426756
2022,4,180249206
2022,4,192428507
2022,4,192428512
2022,4,192749544
2022,4,192552743
2022,4,192428663
2022,4,192552744
2022,4,192552745
2022,4,192552746
2022,4,192428666
2022,4,192428667
2022,4,192428670
2022,4,192428676
2022,4,192428678
2022,4,192435216
2022,4,192435217
2022,4,192426723
2022,4,192426730
2022,4,192428682
2022,4,192428686
2022,4,192426736
2022,4,192490335
2022,4,192426738
2022,4,192426739
2022,4,192426983
2022,4,192435219
2022,4,192426986
2022,4,192435220
2022,4,192428694
2022,4,192440914
2022,4,192426996
2022,4,192426997
2022,4,192426998
2022,4,192428696
2022,4,192428697
2022,4,192757175
2022,4,192426984
2022,4,192426985
2022,4,192428705
2022,4,192440916
2022,4,192428986
2022,4,192428992
2022,4,192428993
2022,4,197308041
2022,4,197308042
2022,4,192428995
2022,4,192428996
2022,4,192428999
2022,4,192429000
2022,4,201593050
2022,4,201593051
2022,4,192429004
2022,4,192426992
2022,4,192426993
2022,4,192435221
2022,4,192431933
2022,4,192429039
2022,4,192429042
2022,4,192429045
2022,4,192427359
2022,4,192427360
2022,4,192427361
2022,4,192552747
2022,4,197308043
2022,4,197308044
2022,4,197308045
2022,4,192429053
2022,4,192429060
2022,4,192429061
2022,4,192429062
2022,4,192429065
2022,4,192429070
2022,4,192435222
2022,4,192429073
2022,4,192429080
2022,4,192429007
2022,4,192427363
2022,4,192427364
