data_year,arrestee_id,nibrs_arrestee_weapon_id,weapon_id
2022,48900680,,51
2022,45998246,,51
2022,45998248,,51
2022,45998251,,51
2022,45999405,,51
2022,45999406,,51
2022,45999456,,51
2022,45999457,,51
2022,45999458,,52
2022,45999463,,51
2022,45999554,,51
2022,45999563,,51
2022,45999564,,51
2022,45999565,,51
2022,45999559,,51
2022,45999561,,51
2022,50068719,,51
2022,50064616,,51
2022,46590526,,51
2022,46590563,,51
2022,46590614,,51
2022,46590615,,51
2022,50064660,,51
2022,46590661,,51
2022,46590662,,51
2022,46590722,,51
2022,46590723,,51
2022,46590724,,51
2022,46601792,,51
2022,46601793,,51
2022,46601794,,51
2022,50071911,,51
2022,46601796,,51
2022,50071912,,51
2022,50071913,,51
2022,50071958,,52
2022,50242460,,51
2022,50071961,,51
2022,50071950,,51
2022,50068720,,51
2022,46595995,,51
2022,46595996,,51
2022,50071951,,51
2022,47774709,,51
2022,47774711,,51
2022,47783987,,51
2022,50068766,,51
2022,47784560,,51
2022,47774929,,51
2022,50075217,,51
2022,50242461,,51
2022,47786783,,51
2022,47786814,,51
2022,47786815,,51
2022,50075224,,53
2022,47786940,,51
2022,47785656,,51
2022,50075225,,51
2022,50075226,,51
2022,47785680,,51
2022,50074145,,51
2022,50074159,,51
2022,50074199,,51
2022,50074200,,51
2022,50074201,,51
2022,48899359,,51
2022,48898885,,1
2022,48900681,,51
2022,48900682,,51
2022,48897725,,51
2022,48900683,,51
2022,50074223,,51
2022,50074224,,51
2022,47775849,,51
2022,47791933,,51
2022,48898501,,51
2022,48900672,,51
2022,48899008,,51
2022,50250144,,51
2022,47792193,,51
2022,48980098,,51
2022,48898596,,51
2022,50074245,,51
2022,47792612,,51
2022,48912525,,51
2022,48912599,,51
2022,48912602,,51
2022,48900673,,53
2022,48898659,,51
2022,48898660,,51
2022,50062810,,51
2022,48900674,,51
2022,48900675,,51
2022,50242515,,51
2022,50242516,,51
2022,50242517,,51
2022,48898728,,51
2022,48913331,,51
2022,48913332,,51
2022,48913335,,51
2022,48913336,,51
2022,48900693,,51
2022,48913422,,51
2022,48913424,,51
2022,48913425,,51
2022,48901784,,51
2022,48900694,,51
2022,48913429,,51
2022,48913589,,51
2022,50238905,,1
2022,48913591,,51
2022,48913592,,51
2022,48898752,,51
2022,48913593,,51
2022,48913594,,51
2022,48898754,,51
2022,48913595,,51
2022,48913598,,51
2022,48913803,,51
2022,48984264,,51
2022,48913813,,51
2022,48900695,,51
2022,48900702,,51
2022,50242518,,51
2022,48931959,,51
2022,48935879,,51
2022,48931019,,51
2022,48931064,,51
2022,48900786,,51
2022,48931415,,51
2022,48931065,,51
2022,48931066,,51
2022,50061903,,51
2022,48931090,,51
2022,48931092,,51
2022,48931098,,51
2022,48931099,,51
2022,48984302,,51
2022,48984303,,51
2022,48931181,,51
2022,48901787,,51
2022,48901788,,51
2022,48900787,,51
2022,48899339,,51
2022,48898986,,51
2022,48899031,,52
2022,48931258,,51
2022,48984370,,51
2022,48984371,,52
2022,48984375,,51
2022,50118633,,53
2022,48899409,,51
2022,50078220,,53
2022,50079433,,51
2022,48987683,,52
2022,48987684,,51
2022,50119101,,51
2022,48900009,,51
2022,50078150,,51
2022,48900788,,51
2022,48913033,,51
