data_year,criminal_act_id,offense_id
2022,9,192428766
2022,6,192434818
2022,9,192428780
2022,9,192428786
2022,9,192428788
2022,9,192428791
2022,9,192434821
2022,9,192428794
2022,9,192425753
2022,6,192434822
2022,9,192434823
2022,6,192426168
2022,9,192428801
2022,9,192428804
2022,9,192426179
2022,6,192434824
2022,6,192434825
2022,9,192434826
2022,9,192420693
2022,9,192426558
2022,9,192420701
2022,6,192434827
2022,9,192434828
2022,9,192426610
2022,9,192440871
2022,9,192422079
2022,9,192422164
2022,9,192426864
2022,9,192422229
2022,9,192426870
2022,9,192422050
2022,9,192426836
2022,6,192440874
2022,9,192440875
2022,9,192426854
2022,9,192424199
2022,9,192426862
2022,9,192434762
2022,9,192424628
2022,9,192424634
2022,6,192434768
2022,9,192434769
2022,6,192434770
2022,9,192434771
2022,9,192424603
2022,9,192424623
2022,9,192756841
2022,9,192424635
2022,9,192424641
2022,6,192424644
2022,9,192424646
2022,6,192434776
2022,9,192434777
2022,9,192426885
2022,9,192434779
2022,6,192434780
2022,9,192434781
2022,9,192426887
2022,9,192426892
2022,6,192434782
2022,9,192434783
2022,6,192434785
2022,9,192434788
2022,9,192426905
2022,6,192426906
2022,9,198006011
2022,9,192426909
2022,9,192424996
2022,9,192434789
2022,6,192434790
2022,6,192434791
2022,9,192434793
2022,9,192427642
2022,9,192427648
2022,9,192434794
2022,9,192434797
2022,9,192425407
2022,9,192434862
2022,6,198006015
2022,9,198006017
2022,9,192425495
2022,6,192425497
2022,9,192425498
2022,6,192431930
2022,9,192431931
2022,9,192425503
2022,9,192434869
2022,9,192425505
2022,9,192434870
2022,6,192434871
2022,9,192434873
2022,9,192427989
2022,9,192428001
2022,9,192428006
2022,9,192428000
2022,9,192428007
2022,9,192434876
2022,6,192434877
2022,9,192434878
2022,6,192435208
2022,9,192426392
2022,6,192426393
2022,9,192426398
2022,9,192428016
2022,9,192428017
2022,9,192426719
2022,9,192552742
2022,9,192428039
2022,9,192428040
2022,9,192426731
2022,9,192428019
2022,9,192428035
2022,9,192428037
2022,9,192428048
2022,9,192428068
2022,6,192426749
2022,9,192426750
2022,9,192435215
2022,9,192426756
2022,9,192428507
2022,9,192428663
2022,6,192428667
2022,9,192428670
2022,9,192428676
2022,9,192428678
2022,9,192428682
2022,9,192428686
2022,9,192426739
2022,9,192428694
2022,9,192428696
2022,6,192428697
2022,6,192426984
2022,9,192426985
2022,9,192428705
2022,9,192428992
2022,6,192428995
2022,9,192428996
2022,6,192428999
2022,9,192429004
2022,9,192429039
2022,9,192427360
2022,6,197308043
2022,9,197308045
2022,9,180248017
2022,9,180249179
2022,9,180249634
2022,1,180249673
2022,9,180249685
2022,9,180249713
2022,9,192429053
2022,9,192429060
2022,6,192429061
2022,9,192429070
2022,9,192435222
2022,9,192429007
2022,9,192435224
2022,9,192429032
2022,9,192431936
2022,6,192427382
2022,9,192427383
2022,9,192421188
2022,9,192421286
2022,9,192435225
2022,9,192427407
2022,9,192427410
2022,6,192427412
2022,9,192427413
2022,9,192423059
2022,6,192427420
2022,9,192427421
2022,9,192423064
2022,9,192435229
2022,9,192423070
2022,9,192423076
2022,9,192423093
2022,6,192435231
2022,9,192435232
2022,6,192423236
2022,9,180251737
2022,9,192423253
2022,9,192431943
2022,6,192431944
2022,9,192431945
2022,9,192435235
2022,9,192423333
2022,9,192423217
