data_year,bias_id,offense_id
2022,88,192428561
2022,88,192434817
2022,88,192428766
2022,88,192428775
2022,88,192434818
2022,88,192434819
2022,88,192428780
2022,88,192428786
2022,88,192428788
2022,88,192428791
2022,88,192434821
2022,88,192428794
2022,88,192425753
2022,88,192428796
2022,88,192434822
2022,88,192434823
2022,88,192426168
2022,88,192428801
2022,88,192428804
2022,88,192426179
2022,88,192434824
2022,88,192434825
2022,88,192434826
2022,88,192426186
2022,88,192452580
2022,88,192426190
2022,88,192431919
2022,88,192431921
2022,88,192749540
2022,88,197308039
2022,88,192420693
2022,88,192420699
2022,88,192426538
2022,88,192426553
2022,88,192426558
2022,88,192420696
2022,88,192420700
2022,88,192420701
2022,88,192426564
2022,88,192434827
2022,88,192434828
2022,88,192426584
2022,88,192420709
2022,88,192426604
2022,88,192420731
2022,88,192421992
2022,88,192421993
2022,88,192421994
2022,88,192422016
2022,88,192431922
2022,88,192422040
2022,88,192426610
2022,88,192440871
2022,88,192422079
2022,88,192422127
2022,88,192426843
2022,88,180247972
2022,88,192426844
2022,88,192426853
2022,88,192422139
2022,88,180248017
2022,88,192422140
2022,88,192431925
2022,88,192431926
2022,88,192426855
2022,88,192422164
2022,88,192426864
2022,88,192422228
2022,88,192422229
2022,88,192452582
2022,88,192422281
2022,88,192422282
2022,88,192426866
2022,88,192426870
2022,88,192426875
2022,88,192434830
2022,88,192452592
2022,88,192421980
2022,88,192422005
2022,88,192756827
2022,88,180249179
2022,88,192434756
2022,88,192434757
2022,88,192422050
2022,88,192426831
2022,88,192426836
2022,88,192426837
2022,88,192434759
2022,88,192434760
2022,88,192426842
2022,88,192434761
2022,88,192422090
2022,88,192426850
2022,88,192440874
2022,88,192440875
2022,88,192426854
2022,88,192422116
2022,88,192424192
2022,88,192424199
2022,88,192426862
2022,88,192426865
2022,88,192756840
2022,88,180249184
2022,88,180249190
2022,88,192424200
2022,88,192434762
2022,88,192434763
2022,88,192434764
2022,88,192434766
2022,88,192434767
2022,88,192424628
2022,88,192424634
2022,88,192434768
2022,88,192434769
2022,88,192426874
2022,88,192434770
2022,88,192434771
2022,88,192426876
2022,88,192424636
2022,88,192424637
2022,88,192424642
2022,88,192426880
2022,88,192424603
2022,88,192424607
2022,88,192424612
2022,88,192424613
