data_year,arrestee_id,incident_id,arrestee_seq_num,arrest_date,arrest_type_id,multiple_indicator,offense_code,age_id,age_num,sex_code,race_id,ethnicity_id,resident_code,under_18_disposition_code,clearance_ind,age_range_low_num,age_range_high_num
2022,48900680,160983700,1,2022-03-01,3,N,290,34,31,M,10,20,U,,,31,
2022,48899359,160978708,1,2022-01-01,3,N,13B,52,49,M,10,20,U,,,49,
2022,48898885,160976704,1,2022-01-01,1,M,520,42,39,M,20,20,,,,39,
2022,48900681,160983704,1,2022-01-02,3,N,13A,45,42,M,20,20,,,,42,
2022,48900682,160983705,1,2022-01-02,1,N,13A,48,45,M,10,20,R,,,45,
2022,48897725,160972075,1,2022-01-02,1,N,13B,37,34,M,20,20,U,,,34,
2022,48900683,160983706,1,2022-01-03,1,N,13A,29,26,F,20,20,R,,,26,
2022,48898501,160975133,1,2022-01-05,1,N,23H,26,23,F,20,20,,,,23,
2022,48900672,160983668,1,2022-01-05,1,N,220,43,40,M,10,20,,,,40,
2022,48899008,160977243,1,2022-01-06,3,N,290,19,16,M,20,20,,R,,16,
2022,48980098,161263093,1,2022-01-06,1,N,220,43,40,M,10,20,R,,,40,
2022,48898596,160975482,1,2022-01-06,1,N,520,56,53,M,10,20,R,,,53,
2022,48900673,160983675,1,2022-01-07,1,N,13A,33,30,M,10,10,R,,,30,
2022,48898659,160975745,1,2022-01-08,1,N,23H,39,36,M,10,10,,,,36,
2022,48898660,160975751,1,2022-01-19,3,N,290,30,27,M,20,20,R,,,27,
2022,48900674,160983680,1,2022-01-27,3,N,120,34,31,F,20,20,R,,,31,
2022,48900675,160983681,1,2022-01-09,1,N,35A,51,48,M,20,20,,,,48,
2022,48898728,160976048,1,2022-01-10,1,N,23H,61,58,M,20,20,,,,58,
2022,48900693,160983734,1,2022-01-11,3,N,13B,28,25,M,20,40,R,,,25,
2022,48901784,160988695,1,2022-02-01,3,N,290,34,31,M,10,20,,,,31,
