data_year,arrestee_id,nibrs_arrestee_weapon_id,weapon_id
2023,51120897,,51
2023,53334142,,51
2023,51120901,,51
2023,51120902,,51
2023,51120953,,51
2023,53333262,,51
2023,51120954,,51
2023,51120955,,51
2023,52766969,,51
2023,52707691,,51
2023,51121023,,51
2023,51118211,,51
2023,51118213,,51
2023,54510375,,51
2023,54428436,,51
2023,53333263,,51
2023,56376149,,51
2023,51608804,,51
2023,51118260,,51
2023,51118261,,51
2023,53325511,,51
2023,51119641,,51
2023,55567143,,51
2023,56376383,,51
2023,56376384,,51
2023,56376385,,51
2023,52713326,,51
2023,51119648,,51
2023,51119649,,51
2023,51119650,,51
2023,51119651,,51
2023,52767112,,51
2023,51119752,,51
2023,51119753,,51
2023,51119754,,52
2023,52711437,,51
2023,51119756,,51
2023,53325512,,51
2023,52713441,,51
2023,51609977,,51
2023,51609978,,51
2023,51609979,,51
2023,51609980,,51
2023,51609981,,51
2023,51119792,,51
2023,51609982,,51
2023,54428440,,51
2023,54428443,,51
2023,51119795,,51
2023,51119796,,51
2023,52713443,,51
2023,51244762,,51
2023,53325513,,51
2023,53325514,,51
2023,51244074,,51
2023,51244077,,51
2023,51244078,,51
2023,51244121,,52
2023,51244122,,51
2023,51244124,,51
2023,52766974,,51
2023,52711557,,51
2023,52711558,,51
2023,51609819,,51
2023,51609820,,51
2023,51609821,,51
2023,51119817,,51
2023,51609839,,51
2023,51119857,,51
2023,51119858,,51
2023,52767114,,51
2023,51609850,,51
2023,51609854,,51
2023,51119861,,51
2023,51609866,,51
2023,51609867,,51
2023,51119864,,51
2023,51609882,,51
2023,51119867,,51
2023,52783863,,51
2023,51609448,,51
2023,51609449,,51
2023,54427319,,51
2023,54427320,,51
2023,55749735,,51
2023,51608880,,51
2023,51120648,,51
2023,51608881,,51
2023,51608752,,51
2023,52703557,,51
2023,53325517,,51
2023,53325518,,51
2023,53325519,,51
2023,53325520,,51
2023,53325521,,51
2023,51120904,,51
2023,51120905,,51
2023,51608682,,51
2023,52783818,,51
2023,52713546,,51
2023,51120915,,51
2023,52713561,,51
2023,52783821,,51
2023,51608683,,51
2023,52783822,,51
2023,51120959,,53
2023,51608619,,51
2023,51608524,,51
2023,52713927,,51
2023,52713928,,51
2023,55567323,,51
2023,55567324,,51
2023,54510094,,51
2023,51608527,,51
2023,51608533,,51
2023,51608535,,51
2023,51608537,,51
2023,51608538,,1
2023,51608327,,51
2023,51608328,,51
2023,54510095,,51
2023,52765804,,51
2023,54510063,,51
2023,52753010,,51
2023,53325522,,51
2023,53325523,,51
2023,52713655,,51
2023,51612065,,51
2023,52765805,,51
2023,51612070,,51
2023,51612071,,51
2023,51612072,,51
2023,51612073,,51
2023,51612115,,51
2023,51612116,,51
2023,51610497,,51
2023,55567317,,51
2023,52711420,,51
2023,51610507,,51
2023,51610522,,51
2023,56391886,,51
2023,51610381,,51
2023,51610316,,1
2023,51610206,,51
2023,55757327,,51
2023,52711423,,51
2023,51608334,,51
2023,51608266,,51
2023,51608267,,51
2023,51608274,,51
2023,51611677,,51
2023,51611678,,51
2023,51611688,,51
2023,51611689,,51
2023,51611702,,51
2023,51611703,,51
2023,51611785,,51
2023,56393305,,51
2023,52713789,,51
2023,51610446,,51
2023,51610447,,51
2023,54379684,,51
2023,51610454,,51
2023,51610383,,51
2023,51610384,,51
2023,51610385,,51
2023,53333552,,51
2023,51608674,,51
2023,51608675,,51
2023,52713538,,51
2023,54518023,,51
2023,52765147,,51
2023,51608679,,51
2023,51608680,,51
2023,52712794,,52
2023,54518195,,51
2023,52765148,,51
2023,54518196,,51
2023,51608378,,51
2023,51608379,,51
2023,56393306,,51
2023,53333551,,51
2023,52713341,,51
2023,51612017,,51
2023,51667177,,51
2023,51667178,,51
2023,51667179,,51
2023,51667180,,51
2023,52713529,,51
2023,51667183,,51
2023,52713616,,51
2023,51610461,,51
2023,51610462,,51
2023,52765195,,51
2023,52772163,,51
2023,52772164,,51
2023,52695811,,51
2023,52695817,,51
2023,54379686,,51
2023,51610364,,51
2023,52695773,,51
2023,52703644,,51
2023,52695776,,51
2023,52695744,,51
2023,52713343,,51
2023,52713344,,51
2023,52695766,,51
2023,51610308,,51
2023,54518199,,51
2023,52695769,,51
2023,52695770,,51
2023,52695826,,51
2023,51610314,,51
2023,52713350,,51
2023,52713351,,51
2023,52713352,,51
2023,51610203,,51
2023,55786919,,51
2023,52696009,,51
2023,51610115,,51
2023,52702824,,51
2023,52702825,,51
2023,52696164,,51
2023,52702902,,51
2023,52702897,,51
2023,51610060,,51
2023,52702918,,51
2023,51610061,,51
2023,52696185,,51
2023,52702844,,51
2023,52713453,,3
2023,52707781,,51
2023,52707782,,51
2023,52707783,,51
2023,52707421,,51
2023,52707422,,52
2023,52707423,,51
2023,52707991,,51
2023,52708060,,51
2023,52708067,,51
2023,52706974,,52
2023,52706975,,51
2023,52707068,,51
2023,52707072,,52
2023,52707074,,51
2023,52707341,,51
2023,52707345,,51
2023,52707367,,51
2023,52707368,,51
2023,52707369,,51
2023,52707370,,51
2023,55567132,,51
2023,52707810,,51
2023,52765571,,51
2023,52707801,,51
2023,52704081,,51
2023,52704082,,51
2023,52705964,,51
2023,53333554,,51
2023,52704781,,51
2023,52704846,,51
2023,52704847,,51
2023,52767060,,51
2023,52713547,,51
2023,52712099,,51
2023,52704107,,51
2023,52704112,,51
2023,52704113,,51
2023,52764984,,51
2023,52712109,,51
2023,52707559,,53
2023,52712853,,51
2023,52712856,,51
2023,52712861,,51
2023,52712875,,51
2023,52713359,,51
2023,54392528,,51
2023,52704287,,51
2023,52706587,,51
2023,51119773,,51
2023,51119774,,51
2023,51119807,,51
2023,51119809,,51
2023,51119846,,51
2023,51119880,,51
2023,51119881,,51
2023,51119882,,51
2023,51119884,,51
2023,51120595,,51
2023,51120596,,51
2023,51120597,,51
2023,51120598,,51
2023,51244913,,51
2023,51120629,,51
2023,51120630,,51
2023,51120631,,51
2023,51120632,,51
2023,51623389,,51
2023,51120633,,51
2023,51120634,,51
2023,51120635,,51
2023,51120636,,51
2023,51120637,,51
2023,51120638,,51
2023,52786428,,51
2023,51120738,,51
2023,51120739,,51
2023,51120740,,51
2023,51120750,,51
2023,51120757,,51
2023,51244190,,51
2023,51244191,,51
2023,51244192,,51
2023,51244914,,51
2023,51244915,,51
2023,51244954,,51
2023,51244955,,51
2023,51244983,,51
2023,51244984,,51
2023,51244985,,51
2023,51245023,,51
2023,51245096,,51
2023,54512532,,51
2023,54512666,,51
2023,51245098,,51
2023,54512679,,51
2023,54513054,,51
2023,51244515,,51
2023,51244516,,51
2023,51244517,,51
2023,51244518,,51
2023,51623394,,51
2023,51623395,,51
2023,53338120,,51
2023,53338121,,51
2023,51244520,,51
2023,51246127,,51
2023,51246128,,51
2023,51244521,,51
2023,51244522,,51
2023,51244523,,51
2023,51244530,,51
2023,51623397,,51
2023,51244570,,51
2023,51244571,,51
2023,51244572,,51
2023,51244573,,51
2023,51244574,,51
2023,51244575,,51
2023,51244576,,51
2023,51244577,,51
2023,51244578,,51
2023,51244579,,51
2023,51244580,,51
2023,51244581,,51
2023,51244582,,51
2023,52706122,,51
2023,51244583,,51
2023,51244585,,51
2023,51244623,,51
2023,51244624,,51
2023,51244652,,51
2023,51244653,,51
2023,51244654,,51
2023,51246317,,51
2023,51252163,,51
2023,51252165,,51
2023,51252491,,51
2023,52786432,,51
2023,52786433,,51
2023,52786434,,51
2023,51252511,,51
2023,51623399,,51
2023,51252533,,51
2023,51252538,,51
2023,51252566,,51
2023,51624616,,51
2023,51624618,,51
2023,51624619,,51
2023,51624633,,51
2023,51619633,,51
2023,51620019,,51
2023,51620027,,51
2023,51620312,,51
2023,52706137,,51
2023,51620325,,51
2023,51621017,,51
2023,51621022,,51
2023,51621023,,51
2023,51621031,,51
2023,51621036,,51
2023,51621037,,51
2023,51621039,,51
2023,51621041,,51
2023,51621045,,51
2023,51621047,,51
2023,51621259,,51
2023,51621474,,51
2023,51621476,,51
2023,51621489,,51
2023,52795101,,51
2023,52706139,,51
2023,52706142,,51
2023,51622095,,51
2023,51622096,,51
2023,51622102,,51
2023,51622104,,51
2023,55584680,,51
2023,51622109,,51
2023,51622110,,51
2023,52706144,,51
2023,52706145,,51
2023,51622214,,51
2023,51622428,,51
2023,51622429,,51
2023,51622434,,51
2023,51622435,,51
2023,51622438,,51
2023,51622439,,51
2023,51622449,,51
2023,51622462,,51
2023,52714478,,51
2023,52714479,,51
2023,52714480,,51
2023,52714481,,51
2023,52714482,,51
2023,52714485,,51
2023,52714486,,51
2023,52714509,,51
2023,52714204,,51
2023,52714267,,51
2023,52786923,,51
2023,52795102,,51
2023,52786930,,51
2023,52786931,,51
2023,52786932,,51
2023,56381403,,51
2023,56381417,,51
