data_year,weapon_id,offense_id,nibrs_weapon_id
2023,1,214048161,
2023,1,214048163,
2023,41,208003491,
2023,1,201594864,
2023,41,201594865,
2023,41,208003492,
2023,41,201594869,
2023,41,208003310,
2023,41,208083532,
2023,41,210257021,
2023,41,218015169,
2023,41,208083541,
2023,41,203475039,
2023,41,208083542,
2023,41,203475040,
2023,41,201594891,
2023,38,201594893,
2023,38,201594894,
2023,21,201594895,
2023,21,201594896,
2023,38,201595126,
2023,38,201595128,
2023,21,208003311,
2023,21,208003313,
2023,41,203475047,
2023,41,201595138,
2023,41,210253518,
2023,41,203475048,
2023,21,201595147,
2023,21,201595148,
2023,41,203475049,
2023,41,201595166,
2023,41,201595179,
2023,41,201595379,
2023,41,201595382,
2023,38,208059414,
2023,38,208059415,
2023,41,207831091,
2023,41,201595386,
2023,41,203474067,
2023,38,201595405,
2023,38,201595406,
2023,41,203474086,
2023,1,201595414,
2023,1,201595415,
2023,41,203474106,
2023,41,201587074,
2023,41,201587077,
2023,41,201587078,
2023,41,203474128,
2023,41,201587101,
2023,41,201587102,
2023,41,214305343,
2023,41,203469912,
2023,21,201587120,
2023,41,208059416,
2023,41,201587123,
2023,41,201587125,
2023,38,210253521,
2023,21,201587307,
2023,21,201587308,
2023,21,201587310,
2023,21,201587311,
2023,41,201587318,
2023,41,208003517,
2023,21,208191770,
2023,21,208191771,
2023,41,207847807,
2023,41,203469491,
2023,41,203469492,
2023,41,207847818,
2023,41,201590347,
2023,41,217265422,
2023,1,217265420,
2023,41,201590359,
2023,1,217972039,
2023,1,217972041,
2023,41,203469496,
2023,31,217972112,
2023,31,217972113,
2023,41,201590372,
2023,41,203469497,
2023,31,207847827,
2023,31,207847829,
2023,31,201590382,
2023,31,201590383,
2023,41,201590385,
2023,41,201590393,
2023,41,201590400,
2023,41,203469499,
2023,21,208060027,
2023,21,208060028,
2023,21,201590779,
2023,41,208059418,
2023,41,201595688,
2023,41,201590792,
2023,41,201590793,
2023,41,207847856,
2023,41,210216893,
2023,41,201590796,
2023,41,207854639,
2023,41,210216895,
2023,21,207854974,
2023,21,207854975,
2023,41,201590815,
2023,41,201590817,
2023,21,207848299,
2023,41,208059420,
2023,21,203475061,
2023,21,203475062,
2023,1,217265473,
2023,41,201590902,
2023,21,203475065,
2023,41,203475067,
2023,41,201590913,
2023,41,201595701,
2023,41,203475072,
2023,41,203475074,
2023,41,203475075,
2023,41,201590929,
2023,41,207848319,
2023,41,210297781,
2023,21,203475078,
2023,21,203475080,
2023,21,214048196,
2023,21,214048197,
2023,41,201590945,
2023,41,201590955,
2023,41,208059427,
2023,41,208059428,
2023,41,208059430,
2023,31,202029785,
2023,31,202029786,
2023,41,202030070,
2023,41,202030073,
2023,41,202030074,
2023,41,207848367,
2023,41,207848379,
2023,31,202030083,
2023,31,202030084,
2023,31,202030085,
2023,41,207848380,
2023,41,207848381,
2023,41,202030089,
2023,1,214048205,
2023,41,202027348,
2023,41,202027357,
2023,41,207848382,
2023,41,207848384,
2023,41,202027379,
2023,41,217972166,
2023,41,202027384,
2023,41,202027388,
2023,1,202027392,
2023,41,214045336,
2023,41,202027640,
2023,21,202027645,
2023,21,202027646,
2023,21,202027654,
2023,41,202027655,
2023,21,207848423,
2023,21,207848424,
2023,41,203475090,
2023,41,207848434,
2023,38,203475091,
2023,38,203475092,
2023,41,207848446,
2023,41,202027923,
2023,41,202027924,
2023,41,202027925,
2023,41,203474162,
2023,41,203474176,
