data_year,victim_id,injury_id
2023,199619458,4
2023,199619459,4
2023,193621391,4
2023,193621392,4
2023,187225589,4
2023,193621393,4
2023,187225592,4
2023,193621229,4
2023,193699686,4
2023,195858961,4
2023,203581630,4
2023,193699699,4
2023,189096378,4
2023,193699700,4
2023,189096379,4
2023,187225610,4
2023,187225612,4
2023,187225614,4
2023,187225823,4
2023,193621230,4
2023,189096386,4
2023,187225832,4
2023,195855865,4
2023,189096387,4
2023,187225840,4
2023,189096388,4
2023,187225854,4
2023,187225865,4
2023,187226051,4
2023,187226054,4
2023,193675559,4
2023,193675560,4
2023,193675561,4
2023,193450902,4
2023,187226060,4
2023,189095448,4
2023,187226075,4
2023,189095467,4
2023,187226083,4
2023,189095486,4
2023,187218483,4
2023,187218489,4
2023,187218490,4
2023,187218491,4
2023,189095508,4
2023,187218512,4
2023,187218513,4
2023,199879963,4
2023,189091443,4
2023,187218533,4
2023,193675563,4
2023,187218536,4
2023,187218537,4
2023,187218539,4
2023,195855866,4
2023,187218707,4
2023,187218710,4
2023,187218717,4
2023,193621417,4
2023,193809553,4
2023,193466603,4
2023,189091041,5
2023,189091042,4
2023,193466614,4
2023,187221405,4
2023,202830887,4
2023,187221415,4
2023,203538903,6
2023,203538904,4
2023,189091046,4
2023,203538977,7
2023,187221427,4
2023,189091047,4
2023,193466625,3
2023,187221436,3
2023,187221440,4
2023,187221447,4
2023,187221450,4
2023,189091050,4
2023,193676116,4
2023,193675565,4
2023,187226338,4
2023,187221822,4
2023,187221823,4
2023,193466654,4
2023,195820284,4
2023,187221826,4
2023,193473210,4
2023,195820286,4
2023,193473521,3
2023,187221842,4
2023,187221844,4
2023,193675567,4
2023,189096401,4
2023,187221922,4
2023,189096404,4
2023,189096406,4
2023,187221929,4
2023,187226351,4
2023,189096411,4
2023,189096413,4
2023,189096414,4
2023,189096415,4
2023,187221946,4
2023,193467125,4
2023,189096417,4
2023,199619491,4
2023,187221961,4
2023,187221970,4
2023,193675572,4
2023,193675574,4
2023,187651391,4
2023,187651650,4
2023,187651652,4
2023,187651653,4
2023,193467177,4
2023,193467189,4
2023,187651662,4
2023,187651663,4
2023,193467190,4
2023,193467191,4
2023,187651668,4
2023,187649212,4
2023,187649213,4
2023,187649214,4
2023,187649221,4
2023,193467192,4
2023,193467194,4
2023,187649239,4
2023,203539030,4
2023,187649244,4
2023,187649248,4
2023,199616857,4
2023,187649463,4
2023,187649467,4
2023,187649473,4
2023,187649474,4
2023,193467233,4
2023,189096428,4
2023,193467245,4
2023,189096429,4
2023,193467257,4
2023,187649718,4
2023,187649719,4
2023,187649720,4
2023,189095541,4
2023,189095556,5
2023,203539037,4
2023,187222058,4
2023,187222059,4
2023,187222060,4
2023,187222064,4
2023,187222066,4
2023,193675699,4
2023,193468920,4
2023,193468933,4
2023,187222088,4
2023,189095676,4
2023,189095733,4
2023,193407708,4
2023,189095743,5
2023,189095753,4
2023,189095766,4
2023,187222223,4
2023,189095793,4
2023,189095815,4
2023,189095825,4
2023,189095836,4
2023,203539436,3
2023,189095856,4
2023,189095904,4
2023,193468945,4
2023,189095925,4
2023,189095954,4
2023,193676121,4
2023,193759912,4
2023,189095969,4
2023,189095982,4
2023,189096005,4
2023,189096029,4
2023,193676123,4
2023,189096074,4
2023,187222939,4
2023,187222970,4
2023,193676125,4
2023,187223086,8
2023,189094381,4
2023,187223917,4
2023,189094307,4
2023,189094308,4
2023,193676127,4
2023,189094309,4
2023,199616861,4
2023,199879975,4
2023,187223930,5
2023,193468956,4
2023,193676130,4
2023,189091461,4
2023,189091462,5
2023,189091464,4
2023,189091465,5
2023,189091466,5
2023,189091469,4
2023,187224073,4
2023,187224074,4
2023,189091072,4
2023,187224079,4
2023,189090808,5
2023,189090809,4
2023,195820294,4
2023,193468980,4
2023,193468992,4
2023,187225384,4
2023,193759830,4
2023,189090821,5
2023,193759833,4
2023,193473947,4
2023,189090827,4
2023,187225630,5
2023,193475094,4
2023,189090831,4
2023,189090832,4
2023,189090833,4
2023,193759836,4
2023,193699500,4
2023,189090537,4
2023,187225659,5
2023,189090539,6
2023,193473950,4
2023,187225680,4
2023,187225664,5
2023,193473978,4
2023,193475418,4
2023,193436934,4
2023,189090547,4
2023,187225871,4
2023,193475419,4
2023,193759872,4
2023,189090287,5
2023,189090288,5
2023,189090289,5
2023,189089897,4
2023,189089905,4
2023,193475421,4
2023,193475422,4
2023,189089911,5
2023,189089914,4
2023,193475423,4
2023,189089924,4
2023,189089976,5
2023,189089978,5
2023,193621167,4
2023,189089981,5
2023,189089987,4
2023,189089990,4
2023,189089691,5
2023,189089170,4
2023,189089171,5
2023,199879406,4
2023,193621320,4
2023,189089190,4
2023,193474431,4
2023,199879419,4
2023,193621329,4
2023,193474432,4
2023,193670293,4
2023,189103745,4
2023,189103908,4
2023,189103950,4
2023,193670294,4
2023,189103970,4
2023,193670295,4
2023,189104047,4
2023,193670298,4
2023,189098776,4
2023,189098785,4
2023,202831397,4
2023,193466531,4
2023,193465900,4
2023,189098911,4
2023,189098216,4
2023,189097508,4
2023,193474654,4
2023,193474656,4
2023,189090837,4
2023,189090840,4
2023,193466551,4
2023,193670301,4
2023,193474661,4
2023,189089756,4
2023,189089813,4
2023,193474666,4
2023,193666454,4
2023,203573663,4
2023,189089203,4
2023,189089204,4
2023,205910304,4
2023,193466562,4
2023,193666458,4
2023,189089235,4
2023,193474671,4
2023,189089243,4
2023,193667010,4
2023,189089002,4
2023,199902468,4
2023,193667012,4
2023,193474677,4
2023,193474679,4
2023,193474680,4
2023,200014155,4
2023,193474684,4
2023,189102420,4
2023,189102428,4
2023,193667054,4
2023,189102557,4
2023,202831401,4
2023,205910311,4
2023,193667057,4
2023,189102913,4
2023,193667269,4
2023,195856530,4
2023,189098982,4
2023,193474945,4
2023,189098445,4
2023,193824942,4
2023,193667276,4
2023,189098458,4
2023,193667278,4
2023,193468856,4
2023,193667281,4
2023,189098483,4
2023,189098489,4
2023,189098492,4
2023,193473834,4
2023,193667283,4
2023,205910308,4
2023,203671200,4
2023,189091059,4
2023,193667316,4
2023,189090478,4
2023,193790844,4
2023,193790845,4
2023,189090481,4
2023,189090485,4
2023,189090488,4
2023,189090489,4
2023,193667317,4
2023,189090491,4
2023,193473900,4
2023,189090498,4
2023,189090505,4
2023,189090526,4
2023,189090529,4
2023,193471473,4
2023,199902088,4
2023,193473912,4
2023,193667324,4
2023,193879306,4
2023,193473915,4
2023,205910315,3
2023,193667327,4
2023,189089429,4
2023,189089436,6
2023,189089437,6
2023,193473916,4
2023,205884748,4
2023,189089164,4
2023,193473247,4
2023,193473920,4
2023,189105068,4
2023,189105086,4
2023,189103365,4
2023,193667563,4
2023,189369512,3
2023,193473868,4
2023,193791187,4
2023,193473252,4
2023,189369527,4
2023,189369528,4
2023,189369532,4
2023,193667567,4
2023,193474184,4
2023,189098551,4
2023,189098552,4
2023,193667569,4
